,files,keys,en,hi,id,zh-Hant,ja,zh-Hans,Base,th,vi,ko
52,Flabuless/Layouts/Common UI/Rewards.strings,"""gke-Cx-ljA.text""","""Label"";","""लेबल"";","""Label"";","""標籤"";","""ラベル"";","""标签"";",,"""ป้ายกำกับ"";","""Nhãn"";","""라벨"";"
53,Flabuless/Layouts/Common UI/Rewards.strings,"""K81-mv-79f.normalTitle""","""SUBMIT"";",,,,"""送信する"";",,,,,
54,Flabuless/Layouts/Common UI/Rewards.strings,"""TbD-Y5-Qhc.text""","""Pts"";",,,,"""ポイント"";",,,,,
55,Flabuless/Layouts/Common UI/Rewards.strings,"""aiw-LC-EbB.text""","""George Mark Jones"";","""जॉर्ज मार्क जोन्स"";","""George Mark Jones"";","""喬治·馬克·瓊斯"";","""George Mark Jones"";","""George Mark Jones"";",,"""George Mark Jones"";","""George Mark Jones"";","""조지 마크 존스"";"
56,Flabuless/Layouts/Common UI/Rewards.strings,"""eNt-Il-ANl.text""","""Label"";","""लेबल"";","""Label"";","""標籤"";","""ラベル"";","""标签"";",,"""ป้ายกำกับ"";","""Nhãn"";","""라벨"";"
57,Flabuless/Layouts/Common UI/Rewards.strings,"""CaT-13-BsL.normalTitle""","""REDEEMED REWARDS"";",,,,"""交換履歴"";",,,,,
58,Flabuless/Layouts/Common UI/Rewards.strings,"""toG-Rp-dTQ.text""","""Email"";","""ईमेल"";","""Email"";","""電子郵件"";","""Eメール"";","""电子邮件"";",,"""อีเมล"";","""Email"";","""이메일"";"
59,Flabuless/Layouts/Common UI/Rewards.strings,"""UJ9-MQ-3Lw.normalTitle""","""Dashboard"";","""डैशबोर्ड"";","""Dasbor"";","""主頁"";","""ダッシュボード"";","""仪表板"";",,"""แดชบอร์ด"";","""Tổng hợp"";","""대시보드"";"
60,Flabuless/Layouts/Common UI/Rewards.strings,"""qSJ-GF-Nfg.text""","""9987654345"";","""9987654345"";","""9987654345"";","""9987654345"";","""9987654345"";","""9987654345"";",,"""9987654345"";","""9987654345"";","""9987654345"";"
61,Flabuless/Layouts/Common UI/Rewards.strings,"""0ht-jH-jdh.text""","""You want to Redeem This Reward"";",,,,"""この商品はあなたの○○Pと交換されます。\nこれ以上進むとキャンセルはできません。"";",,,,,
62,Flabuless/Layouts/Common UI/Rewards.strings,"""JiO-ab-6PY.text""","""Address"";","""पता"";","""Alamat"";","""地址"";","""住所"";","""地址"";",,"""ที่อยู่"";","""Địa chỉ"";","""주소"";"
63,Flabuless/Layouts/Common UI/Rewards.strings,"""yef-VP-HGn.text""","""Phone"";","""फ़ोन"";","""Telepon"";","""電話"";","""電話"";","""电话"";",,"""โทรศัพท์"";","""Điện thoại"";","""전화번호"";"
64,Flabuless/Layouts/Common UI/Rewards.strings,"""0OP-94-DId.normalTitle""","""CheckIn"";","""चेक इन"";","""Daftar masuk"";","""簽到"";","""チェックイン"";","""签到"";",,"""เช็กอิน"";","""Tham gia sự kiện"";","""체크인"";"
65,Flabuless/Layouts/Common UI/Rewards.strings,"""jXu-9w-rm6.text""","""Are You Sure?"";",,,,"""Are You Sure?"";",,,,,
66,Flabuless/Layouts/Common UI/Rewards.strings,"""njb-ez-Hci.text""","""25% Off 6 month/1 year membership"";","""6 महीने/1 साल की सदस्यता पर 25% की छूट "";","""Diskon 25% 6 bulan/1 tahun keanggotaan"";","""6 個月/1 年會員可享有 25% 折扣"";","""6ヶ月/ 1年メンバーシップを25％オフ"";","""6 个月/1 年会员优惠 25%"";",,"""ส่วนลด 25% สำหรับการเป็นสมาชิก 6 เดือน/1 ปี"";","""Giảm 25% cho gói thành viên 6 tháng/1 năm"";","""6개월/1년 맴버십 25% 할인"";"
67,Flabuless/Layouts/Common UI/Rewards.strings,"""2lx-U2-oVY.normalTitle""","""List"";","""सूची"";","""Daftar"";","""清單"";","""リスト"";","""列表"";",,"""รายการ"";","""Danh mục"";","""목록"";"
68,Flabuless/Layouts/Common UI/Rewards.strings,"""t79-RD-FZf.text""","""0"";",,,,"""0"";",,,,,
69,Flabuless/Layouts/Common UI/Rewards.strings,"""NMo-0e-taF.text""","""Label"";","""लेबल"";","""Label"";","""標籤"";","""ラベル"";","""标签"";",,"""ป้ายกำกับ"";","""Nhãn"";","""라벨"";"
70,Flabuless/Layouts/Common UI/Rewards.strings,"""zfF-ig-NOZ.normalTitle""","""Cancel"";",,,,"""キャンセル"";",,,,,
71,Flabuless/Layouts/Common UI/Rewards.strings,"""HsF-eh-Czs.text""","""Required"";",,,,"""必須項目"";",,,,,
72,Flabuless/Layouts/Common UI/Rewards.strings,"""tqQ-yW-8It.normalTitle""","""Show  more"";","""और दिखाएं"";","""Tampilkan lebih banyak"";","""顯示更多"";","""もっと見せる"";","""显示更多"";",,"""แสดงเพิ่มเติม"";","""Hiển thị thêm"";","""더 보기"";"
73,Flabuless/Layouts/Common UI/Rewards.strings,"""zp6-Ie-95h.text""","""Web"";","""वेब"";","""Situs Web"";","""網頁"";","""URL"";","""网站"";",,"""เว็บ"";","""Web"";","""웹"";"
74,Flabuless/Layouts/Common UI/Rewards.strings,"""lKz-sS-KMp.normalTitle""","""Yes"";","""हां"";","""Ya"";","""是"";","""はい"";","""是的"";",,"""ใช่"";","""Vâng"";","""네"";"
75,Flabuless/Layouts/Common UI/Rewards.strings,"""27u-qc-i6Q.normalTitle""","""No"";","""नहीं"";","""Tidak"";","""否"";","""いいえ"";","""不"";",,"""ไม่ใช่"";","""Không"";","""아니요"";"
76,Flabuless/Layouts/Common UI/Rewards.strings,"""iQf-uY-fpj.normalTitle""","""Redeemed"";","""रिडीम किए गए "";","""Ditebus"";","""已兌換"";","""ポイントとの交換が完了しました"";","""兑换"";",,"""แลกรับแล้ว"";","""Đã Đổi"";","""교환됨"";"
77,Flabuless/Layouts/Common UI/Rewards.strings,"""8MP-fB-97F.text""","""Locations"";","""Locations"";","""Lokasi"";","""總經理"";","""場所"";","""地点"";",,"""สถานที่"";","""Địa điểm"";","""위치"";"
78,Flabuless/Layouts/Common UI/Rewards.strings,"""JYG-sQ-sag.text""","""www.zalora.com"";","""www.zalora.com"";","""www.zalora.com"";","""www.zalora.com"";","""www.zalora.com"";","""www.zalora.com"";",,"""www.zalora.com"";","""www.zalora.com"";","""www.zalora.com"";"
79,Flabuless/Layouts/Common UI/Rewards.strings,"""AZ5-35-dcI.text""","""General Manager"";","""General Manager"";","""General Manager"";","""General Manager"";","""ゼネラルマネージャー"";","""总经理"";",,"""General Manager"";","""Tổng Giám đốc"";","""General Manager"";"
80,Flabuless/Layouts/Common UI/Rewards.strings,"""tkM-w8-oup.text""","""Pts"";",,,,"""ポイント"";",,,,,
81,Flabuless/Layouts/Common UI/Rewards.strings,"""bZr-AI-UEr.text""","""Redeeming this reward will deduct 5000 from your account."";","""इस रिवॉर्ड को रिडीम करने से आपके खाते से 5000 कम हो जायेंगे. "";","""Menebus hadiah ini akan mengurangi 5000 dari akun Anda"";","""兌換此獎勵將自您的帳戶中扣除 5,000。"";","""この商品はあなたの 500 Pと交換されます。\nこれ以上進むとキャンセルはできません。"";","""兑换此奖励将从您的帐户中扣除 5000 积分。"";",,"""การแลกรับรางวัลนี้จะหัก 5000 ออกจากบัญชีของคุณ"";","""Đổi lấy phần thưởng này sẽ trừ đi 5000 từ tài khoản của bạn."";","""이 보상을 교환하면 계정에서 5000이 차감됩니다."";"
82,Flabuless/Layouts/Common UI/Rewards.strings,"""Mzd-Hq-BtY.text""","""<reward name>"";",,,,"""<reward name>"";",,,,,
83,Flabuless/Layouts/Common UI/Rewards.strings,"""gSQ-4r-AeL.text""","""REWARDS"";","""पुरस्कार"";","""HADIAH"";","""獎勵"";","""ポイント交換"";","""奖励"";",,"""รางวัล"";","""PHẦN THƯỞNG"";","""보상"";"
84,Flabuless/Layouts/Common UI/Rewards.strings,"""pcD-P7-a27.text""","""Powered by Rewardz"";",,,,"""Powered by Rewardz"";",,,,,
85,Flabuless/Layouts/Common UI/Rewards.strings,"""R7T-we-MNy.text""","""REWARDS"";","""पुरस्कार"";","""HADIAH"";","""獎勵"";","""ポイント交換"";","""奖励"";",,"""รางวัล"";","""PHẦN THƯỞNG"";","""보상"";"
86,Flabuless/Layouts/Common UI/Rewards.strings,"""Lz6-BA-MYv.text""","""REDEEMED"";",,,,"""償還報酬"";",,,,,
87,Flabuless/Layouts/Common UI/Rewards.strings,"""MZv-iD-44y.text""","""Jl. Hang Lekir, Nongsa, BatamIndonesia 29465"";",,,,"""Jl. Hang Lekir, Nongsa, BatamIndonesia 29465"";",,,,,
88,Flabuless/Layouts/Common UI/Rewards.strings,"""Ker-CL-jS6.text""","""Valid till"";",,,,"""交換期間"";",,,,,
89,Flabuless/Layouts/Common UI/Rewards.strings,"""OFn-7l-f5B.text""","""   You have 5 rewards to redeem"";","""आपके पास रिडीम करने के लिए 5 रिवॉर्डस हैं"";","""Anda memiliki 5 hadiah untuk ditebus"";","""您可以兌換 5 個獎勵"";","""交換可能な特典は 5 個です。"";","""您有 5 个可兑换的奖励"";",,"""คุณมี 5 รางวัลที่แลกรับได้"";","""Có 5 phần thưởng bạn có thể đổi được"";","""교환할 보상이 5개 있습니다"";"
90,Flabuless/Layouts/Common UI/Rewards.strings,"""r0g-rs-tLr.text""","""Redeeming Instructions"";","""रिडीम करने के निर्देश"";","""Instruksi Penebusan"";","""兌換說明"";","""利用方法"";","""兑换说明"";",,"""คำแนะนำในการแลกรับ"";","""Hướng dẫn Đổi thưởng"";","""교환 지시 사항"";"
91,Flabuless/Layouts/Common UI/Rewards.strings,"""HeV-P9-LF9.normalTitle""","""Show  more"";","""और दिखाओ"";","""Tampilkan lebih banyak"";","""顯示更多"";","""もっと見せる"";","""显示更多"";",,"""แสดงเพิ่มเติม"";","""Hiển thị thêm"";","""더 보기"";"
92,Flabuless/Layouts/Common UI/Rewards.strings,"""uEC-SD-LSe.normalTitle""","""Ok"";",,,,"""閉じる"";",,,,,
93,Flabuless/Layouts/Common UI/Rewards.strings,"""YPX-qd-UTF.text""","""Label"";",,,,"""Label"";",,,,,
94,Flabuless/Layouts/Common UI/Rewards.strings,"""gmG-oq-230.text""","""Pts"";",,,,"""ポイント"";",,,,,
95,Flabuless/Layouts/Common UI/Rewards.strings,"""hTe-48-bPA.text""","""0"";",,,,"""0"";",,,,,
96,Flabuless/Layouts/Common UI/Rewards.strings,"""TMA-Ec-nq8.text""","""reward timestamp"";",,,,"""reward timestamp"";",,,,,
97,Flabuless/Layouts/Common UI/Rewards.strings,"""CD6-45-fm3.normalTitle""","""Check in"";","""चेक इन"";","""Daftar masuk"";","""簽到"";","""チェックイン"";","""签到"";",,"""เช็กอิน"";","""Tham gia sự kiện"";","""체크인"";"
98,Flabuless/Layouts/Common UI/Rewards.strings,"""dqL-y4-FXZ.normalTitle""","""Applier info"";",,,,"""申込者情報"";",,,,,
99,Flabuless/Layouts/Common UI/Rewards.strings,"""KWv-Ja-TnR.text""","""Redeeming this reward will deduct 5000 from your account."";",,,,"""Redeeming this reward will deduct 5000 from your account."";",,,,,
100,Flabuless/Layouts/Common UI/Rewards.strings,"""0fI-Pn-cgj.text""","""         "";",,,,"""         "";",,,,,
101,Flabuless/Layouts/Common UI/Rewards.strings,"""KG2-mb-GI5.text""","""Locations"";","""लोकेशन्स"";","""Lokasi"";","""位置"";","""場所"";","""位置"";",,"""ตำแหน่งที่ตั้ง"";","""Địa điểm"";","""위치"";"
102,Flabuless/Layouts/Common UI/Rewards.strings,"""Rqt-FN-DdA.normalTitle""","""SUBMIT"";","""सबमिट"";","""KIRIM"";","""送出"";","""OK"";","""提交"";",,"""ส่ง"";","""GỬI"";","""제출"";"
103,Flabuless/Layouts/Common UI/Rewards.strings,"""ehl-ce-d90.text""","""reward description"";",,,,"""報酬の説明"";",,,,,
104,Flabuless/Layouts/Common UI/Rewards.strings,"""jTb-Me-JSa.text""","""Terms & Conditions"";","""नियम एवं शर्तें "";","""Syarat & Ketentuan"";","""條款和條件"";","""利用方法・注意事項"";","""条款与条件"";",,"""ข้อกำหนดและเงื่อนไข"";","""Các Điều khoản "";","""이용 약관"";"
105,Flabuless/Layouts/Common UI/Rewards.strings,"""gmV-Hi-UZp.text""","""150"";",,,,"""150"";",,,,,
106,Flabuless/Layouts/Common UI/Rewards.strings,"""udN-rZ-JYH.text""","""Coupon Code: SGROKTQ21550"";","""कूपन कोड: SGROKTQ21550 "";","""Kode Kupon: SGROKTQ21550"";","""優惠券代碼:SGROKTQ21550"";","""クーポンコード：SGROKTQ21550"";","""优惠券代码:SGROKTQ21550"";",,"""รหัสคูปอง: SGROKTQ21550"";","""Mã Giảm giá: SGROKTQ21550"";","""쿠폰 코드: SGROKTQ21550"";"
107,Flabuless/Layouts/Common UI/Rewards.strings,"""yfg-3c-zBJ.normalTitle""","""VIEW THIS REWARD"";",,,,"""商品詳細を見る"";",,,,,
108,Flabuless/Layouts/Common UI/Rewards.strings,"""l71-8C-eex.text""","""About"";","""के बारे में"";","""Tentang"";","""關於"";","""施設詳細"";","""关于"";",,"""เกี่ยวกับ"";","""Giới thiệu"";","""소개"";"
109,Flabuless/Layouts/Common UI/Rewards.strings,"""E5A-Xh-u6Y.text""","""   "";",,,,"""   "";",,,,,
110,Flabuless/Layouts/Common UI/Rewards.strings,"""c2I-gP-gzg.text""","""Are you sure you want to redeem and deliver this reward to your address? This will deduct 10 points."";",,,,"""Are you sure you want to redeem and deliver this reward to your address? This will deduct 10 points."";",,,,,
111,Flabuless/Layouts/Common UI/Rewards.strings,"""ge6-y4-X76.text""","""Reward Redeemed"";","""रिवॉर्ड रिडीम किए गए "";","""Hadiah Ditebus"";","""已兌換獎勵"";","""償還報酬"";","""已兑换的奖励"";",,"""รางวัลที่แลกรับ"";","""Đã Đổi Phần thưởng"";","""보상 교환됨"";"
112,Flabuless/Layouts/Common UI/Rewards.strings,"""hKC-AV-zQP.text""","""reward name"";",,,,"""報酬名"";",,,,,
113,Flabuless/Layouts/Common UI/Rewards.strings,"""PTM-3g-TBu.text""","""Reward Delivery Addresses"";",,,,"""商品送付先情報"";",,,,,
114,Flabuless/Layouts/Common UI/Rewards.strings,"""YS9-T1-ppL.text""","""Reedeemed on 2015-06-16 at 23:29:35"";","""2015-06-16 को 23:29:35 बजे रिडीम किये गये "";","""Ditebus pada 16-06-2015 pukul 23:29:35"";","""已兌換於 2015 年 06 月 16 日 23:29:35"";","""2015年6月16日23時29分35秒に交換されました"";","""2015-06-16 23:29:35 兑换"";",,"""แลกรับเมื่อ 2015-06-16 เวลา 23:29:35"";","""Đã đổi vào 23:29:25 giờ ngày 16/06/2015"";","""2015-06-16 23:29:35에 교환됨"";"
115,Flabuless/Layouts/Common UI/Rewards.strings,"""ltM-ys-1nx.text""","""REWARDS"";",,,,"""ポイント交換"";",,,,,
116,Flabuless/Layouts/Common UI/Rewards.strings,"""JXe-it-Xrv.text""","""You want to Redeem This Reward"";","""आप इस रिवॉर्ड को रिडीम करना चाहते हैं"";","""Anda ingin Menebus Hadiah Ini"";","""您想要兌換這個獎勵"";","""この商品はあなたの○○Pと交換されます。\nこれ以上進むとキャンセルはできません。"";","""您想要兑换此奖励"";",,"""คุณต้องการแลกรับรางวัลนี้"";","""Bạn muốn Đổi lấy Phần thưởng Này"";","""이 보상을 교환하겠습니까"";"
117,Flabuless/Layouts/Common UI/Rewards.strings,"""9ty-eO-wuk.normalTitle""","""CANCEL"";",,,,"""キャンセル"";",,,,,
118,Flabuless/Layouts/Common UI/Rewards.strings,"""SDx-E5-7Lw.text""","""Address"";","""पता"";","""Alamat"";","""地址"";","""住所"";","""地址"";",,"""ที่อยู่"";","""Địa chỉ"";","""위치"";"
119,Flabuless/Layouts/Common UI/Rewards.strings,"""OAW-C6-Qr5.text""","""EveryOne Yoga 25 %"";","""एवरीवन योगा 25 %"";","""EveryOne Yoga 25 %"";","""EveryOne Yoga 25 %"";","""EveryOne Yoga 25 %"";","""EveryOne Yoga 25 %"";",,"""EveryOne Yoga 25 %"";","""EveryOne Yoga giảm 25%"";","""EveryOne Yoga 25 %"";"
120,Flabuless/Layouts/Common UI/Rewards.strings,"""PuA-EE-WAi.normalTitle""","""Redeem this Reward"";","""यह रिवॉर्ड रिडीम करें"";","""Tebus Hadiah ini"";","""兌換此獎勵"";","""ポイントと交換する"";","""兑换这个奖励"";",,"""แลกรับรางวัลนี้"";","""Đổi lấy Phần thưởng này"";","""이 보상 교환"";"
121,Flabuless/Layouts/Common UI/Rewards.strings,"""Smk-Rj-kyg.normalTitle""","""Receiver info"";",,,,"""お届け先情報"";",,,,,
122,Flabuless/Layouts/Common UI/Rewards.strings,"""7PZ-eE-pv3.text""","""REWARDS"";","""पुरस्कार"";","""HADIAH"";","""獎勵"";","""ポイント交換"";","""奖励"";",,"""รางวัล"";","""PHẦN THƯỞNG"";","""보상"";"
123,Flabuless/Layouts/Common UI/Rewards.strings,"""1B0-hf-Z7V.text""","""563"";","""563"";","""563"";","""563"";","""563"";","""563"";",,"""563"";","""563"";","""563"";"
0,Flabuless/Presentation Layer/NewEventDesign/NewCheckinViewController/CustomCells/EventCommonCell.strings,"""4Cl-du-NaC.text""","""Title"";","""Title"";","""Title"";","""Title"";","""Title"";","""Title"";",,"""Title"";","""Title"";","""Title"";"
1,Flabuless/Presentation Layer/NewEventDesign/NewCheckinViewController/CustomCells/EventCommonCell.strings,"""Hb8-uu-pSJ.text""","""Description"";","""Description"";","""Description"";","""Description"";","""Description"";","""活动描述"";",,"""Description"";","""Description"";","""Description"";"
0,Flabuless/Presentation Layer/Add meal/Custom Cell/MealTableViewCell.strings,"""aSi-J5-ib9.text""","""Label"";","""लेबल"";","""Label"";","""標籤"";","""Label"";","""标签"";",,"""ป้ายกำกับ"";","""Label"";","""라벨"";"
1,Flabuless/Presentation Layer/Add meal/Custom Cell/MealTableViewCell.strings,"""WHM-Qo-bMp.text""","""Label"";","""लेबल"";","""Label"";","""標籤"";","""Label"";","""标签"";",,"""ป้ายกำกับ"";","""Label"";","""라벨"";"
0,Flabuless/Presentation Layer/Settings/NewConnectApps/Connect App Worker/Connect Tracker Workers/WeChat/WeChat Help/WeChatHelpViewController.strings,"""Q6n-Ld-8aX.text""","""How it works"";","""How it works"";","""How it works"";","""How it works"";","""How it works"";","""How it works"";",,"""How it works"";","""How it works"";","""How it works"";"
1,Flabuless/Presentation Layer/Settings/NewConnectApps/Connect App Worker/Connect Tracker Workers/WeChat/WeChat Help/WeChatHelpViewController.strings,"""Zc4-6q-KdK.text""","""CONNECT WECHAT"";","""CONNECT WECHAT"";","""CONNECT WECHAT"";","""連接微信 "";","""CONNECT WECHAT"";","""连接微信"";",,"""CONNECT WECHAT"";","""CONNECT WECHAT"";","""CONNECT WECHAT"";"
2,Flabuless/Presentation Layer/Settings/NewConnectApps/Connect App Worker/Connect Tracker Workers/WeChat/WeChat Help/WeChatHelpViewController.strings,"""3mY-yO-qb9.text""","""CONNECT TO"";","""CONNECT TO"";","""CONNECT TO"";","""連接到"";","""CONNECT TO"";","""连接到"";",,"""CONNECT TO"";","""CONNECT TO"";","""CONNECT TO"";"
0,Flabuless/Presentation Layer/Add Activity/Custom Cell/ActivityCollectionViewCell.strings,"""kTU-md-p8b.text""","""Label"";","""लेबल"";","""Label"";","""標籤"";","""ラベル"";","""标签"";",,"""ฉลาก"";","""Nhãn"";","""라벨"";"
0,Flabuless/Presentation Layer/Feeds/FlabulessFeedsContainerViewController.strings,"""erd-Da-KQQ.normalTitle""","""Dashboard"";","""Dashboard"";","""Dashboard"";","""Dashboard"";","""Dashboard"";","""Dashboard"";",,"""Dashboard"";","""Dashboard"";","""Dashboard"";"
1,Flabuless/Presentation Layer/Feeds/FlabulessFeedsContainerViewController.strings,"""eG2-Qf-hYd.normalTitle""","""Check in"";","""Check in"";","""Check in"";","""Check in"";","""Check in"";","""签到"";",,"""Check in"";","""Check in"";","""Check in"";"
2,Flabuless/Presentation Layer/Feeds/FlabulessFeedsContainerViewController.strings,"""Mdd-lQ-ipB.text""","""NEWS FEED"";","""समाचार फ़ीड"";","""Kabar Berita"";","""新聞源"";","""ニュースフィード"";","""动态消息"";",,"""ฟีดข่าว"";","""Bảng tin"";","""뉴스 피드"";"
0,Flabuless/Presentation Layer/LeaderBoard/BridgeStone/LeaderBoard Users List/LeaderBoardUsersListViewController.strings,"""sqQ-g3-5Vr.text""","""Top Active Users"";","""शीर्ष सक्रिय उपयोगकर्ता"";","""Pengguna Aktif Teratas"";","""最活躍的成員"";","""トップアクティブユーザー"";","""最活跃的成员"";",,"""ผู้ใช้งานบ่อย ที่สุด"";","""Top Active Users"";","""최고 활성 사용자"";"
1,Flabuless/Presentation Layer/LeaderBoard/BridgeStone/LeaderBoard Users List/LeaderBoardUsersListViewController.strings,"""mxh-SX-YRX.text""","""Team Name"";","""टीम का नाम"";","""Nama tim"";","""隊名"";","""チームの名前"";","""队名"";",,"""ชื่อทีม"";","""Team Name"";","""팀 이름"";"
2,Flabuless/Presentation Layer/LeaderBoard/BridgeStone/LeaderBoard Users List/LeaderBoardUsersListViewController.strings,"""Lew-OA-aJc.text""","""Team"";","""टीम"";","""Tim"";","""球隊"";","""チーム"";","""球队"";",,"""ทีม"";","""Team"";","""팀"";"
0,Flabuless/Presentation Layer/Add meal/MealTableBackgrounfView/MealTableBackgroundView.strings,"""6KN-lM-u1D.text""","""NHỮNG MÓN ĂN MỚI ĐÂY"";","""हाल ही के भोजन "";","""MAKANAN TERBARU"";","""最近食物"";","""最近の食べ物"";","""最近的食物"";",,"""อาหารล่าสุด"";","""RECENT FOODS"";","""최근 음식"";"
1,Flabuless/Presentation Layer/Add meal/MealTableBackgrounfView/MealTableBackgroundView.strings,"""uGY-Oe-YH8.text""","""Chúng tôi lưu các món ăn bạn ghi lại gần đây nhất để lần tới bạn có thể ghi nhật ký chúng lại nhanh hơn."";","""हम आपके द्वारा हाल ही में लॉग किए गए खाद्य पदार्थों को सहेजते हैं ताकि आप उन्हें अगली बार जल्दी लॉग कर सकें."";","""Kami menyimpan makanan yang Anda catatkan baru-baru ini agar dapat mencatatkannya lebih cepat kali lain."";","""我們會儲存您最近記錄的食物,讓您下次能夠更快速地記錄。"";","""最近ログに記録した食品は保存するので、次回より速くログに記録することができます。"";","""我们会保存您最近记录的食物,以便提高您下次记录的速度。"";",,"""เราบันทึกอาหารที่คุณจดบันทึกไว้เมื่อเร็ว ๆ นี้เพื่อให้คุณสามารถจดบันทึกได้เร็วขึ้นในครั้งต่อไป"";","""We save the foods you logged most recently so you can log them faster next time."";","""기록하신 음식은 저장이 되어 다음에 더 빨리 기록할 수 있습니다."";"
0,Flabuless/Presentation Layer/NewEventDesign/NewCheckinViewController/Event Details/EventMapCell/NewRsvpTableViewCell.strings,"""fH9-w0-nSl.placeholder""","""RSVP"";","""आरएसवीपी"";","""harap dijawab"";","""敬請回复"";","""お返事お願いします"";","""参加活动"";",,"""RSVP"";","""vui lòng phúc đáp"";","""RSVP"";"
1,Flabuless/Presentation Layer/NewEventDesign/NewCheckinViewController/Event Details/EventMapCell/NewRsvpTableViewCell.strings,"""mXg-fo-GxJ.text""","""RSVP Deadline"";","""आरएसवीपी की समय सीमा"";","""Batas Waktu RSVP"";","""RSVP截止日期"";","""RSVP締め切り」"";","""RSVP截止日期"";",,"""กำหนดเวลา RSVP"";","""Hạn chót RSVP"";","""회답 마감일"";"
0,Flabuless/Presentation Layer/NewEventDesign/EventDateTableViewCell.strings,"""nyT-dK-EJR.placeholder""","""YYYY/MM/DD"";","""YYYY/MM/DD"";","""YYYY/MM/DD"";","""YYYY/MM/DD"";","""YYYY/MM/DD"";","""YYYY/MM/DD"";",,"""YYYY/MM/DD"";","""YYYY/MM/DD"";","""YYYY/MM/DD"";"
1,Flabuless/Presentation Layer/NewEventDesign/EventDateTableViewCell.strings,"""See-VZ-Xa2.placeholder""","""HH/MM"";","""HH/MM"";","""HH/MM"";","""HH/MM"";","""HH/MM"";","""HH/MM"";",,"""HH/MM"";","""HH/MM"";","""HH/MM"";"
2,Flabuless/Presentation Layer/NewEventDesign/EventDateTableViewCell.strings,"""OWi-cK-C6B.placeholder""","""HH/MM"";","""HH/MM"";","""HH/MM"";","""HH/MM"";","""HH/MM"";","""HH/MM"";",,"""HH/MM"";","""HH/MM"";","""HH/MM"";"
3,Flabuless/Presentation Layer/NewEventDesign/EventDateTableViewCell.strings,"""QFI-dd-k8j.text""","""START"";","""शुरु"";","""MULAI"";","""開始"";","""開始日時"";","""开始"";",,"""เริ่มต้น"";","""KHỞI ĐẦU"";","""스타트"";"
4,Flabuless/Presentation Layer/NewEventDesign/EventDateTableViewCell.strings,"""GRD-Yv-BWY.text""","""End"";","""समाप्त"";","""Akhir"";","""結束"";","""終了日時"";","""结束"";",,"""ปลาย"";","""Kết thúc"";","""종료"";"
5,Flabuless/Presentation Layer/NewEventDesign/EventDateTableViewCell.strings,"""jef-NY-IDL.placeholder""","""YYYY/MM/DD"";","""YYYY/MM/DD"";","""YYYY/MM/DD"";","""YYYY/MM/DD"";","""YYYY/MM/DD"";","""YYYY/MM/DD"";",,"""YYYY/MM/DD"";","""YYYY/MM/DD"";","""YYYY/MM/DD"";"
6,Flabuless/Presentation Layer/NewEventDesign/EventDateTableViewCell.strings,"""f6j-Pb-QMX.text""","""EVENT DATE & TIME"";","""ईवेंट डेट और टाइम"";","""TANGGAL ACARA & WAKTU"";","""活動日期和時間"";","""イベントの日付と時刻"";","""活动日期和时间"";",,"""เหตุการณ์วันที่ & เวลา"";","""NGÀY & THỜI GIAN"";","""이벤트 날짜 및 시간"";"
0,Flabuless/Presentation Layer/NewEventDesign/NewCheckinViewController/Event Details/EventMapCell/OtherEventDetailsTableViewCell.strings,"""eEI-aZ-UmO.text""","""OTHER DETAILS(optional)"";","""अन्य विवरण (वैकल्पिक)"";","""RINCIAN LAINNYA (opsional)"";","""其他細節（可選）"";","""その他の詳細（オプション）"";","""其他细节（可选）"";",,"""รายละเอียดอื่น ๆ (ไม่บังคับ)"";","""CHI TIẾT KHÁC (tùy chọn)"";","""기타 세부 사항 (선택 사항)"";"
0,Flabuless/Layouts/Apps Specific/Bridgestone/LoginViewController.strings,"""dvb-6u-0HB.text""","""I accept the Terms of service and Privacy Policy"";","""मैं उपयोग की शर्तें और गोपनीयता नीति स्वीकार करता हूँ "";","""Saya menerima Syarat Layanan dan Kebijakan Privasi"";","""我接受服務條款與隱私原則"";","""私は利用規約とプライバシーポリシーに同意します"";","""我接受服务条款以及隐私政策"";",,"""ฉันยอมรับข้อกำหนดในการให้บริการและนโยบายความเป็นส่วนตัว"";","""Tôi đồng ý với các Điều khoản Dịch vụ và Chính sách Bảo mật"";","""이용 약관과 개인정보 보호정책에 동의합니다"";"
1,Flabuless/Layouts/Apps Specific/Bridgestone/LoginViewController.strings,"""FbO-hh-0Tf.text""","""Version:1.0"";","""संस्करण:1.0"";","""Versi:1.0"";","""版本:1.0"";","""バージョン：1.0"";","""版本:1.0"";",,"""เวอร์ชัน: 1.0"";","""Phiên bản:1.0"";","""버전: 1.0"";"
2,Flabuless/Layouts/Apps Specific/Bridgestone/LoginViewController.strings,"""MYe-rZ-Ocu.normalTitle""","""Button"";","""बटन"";","""Tombol"";","""按鍵"";","""ボタン"";","""按键"";",,"""ปุ่ม"";","""Nút"";","""단추"";"
3,Flabuless/Layouts/Apps Specific/Bridgestone/LoginViewController.strings,"""KW4-CK-WGn.normalTitle""","""Tap here"";","""यहां टैप करें"";","""Ketuk di sini"";","""點擊這裡"";","""ここをタップ"";","""点击这里"";",,"""แตะที่นี่"";","""Nhấn vào đây"";","""여기를 누르세요."";"
