,Unnamed: 0,files,keys,en,zh-Hans,vi,id,ms,th,ru
339,2,SKOR/Presentation Layer/Rewards/RewardsFeedViewController/RewardFeedCellAdapter/Feed Sections/Special Sections/SpecialDealSectionItem/SpecialDealItemsHorizontalScrollingItemConfigurator/Custom Horizontal Cell/SpecialDealsHorizontalItemCollectionViewCell.strings,"""SMu-bf-fY8.text""","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";",
340,0,SKOR/Receipt/Receipt Detail/LedvanceReceipts/Cells/ReceiptsNumberTextFieldTableViewCell.strings,"""aSg-1q-kAm.text""","""Receipt Number"";","""Receipt Number"";",,"""Receipt Number"";","""Receipt Number"";","""Receipt Number"";",
341,1,SKOR/Receipt/Receipt Detail/LedvanceReceipts/Cells/ReceiptsNumberTextFieldTableViewCell.strings,"""mI5-OP-vAg.placeholder""","""Add Receipt Number"";","""Add Receipt Number"";",,"""Add Receipt Number"";","""Add Receipt Number"";","""เพิ่ม"";",
342,0,SKOR/Presentation Layer/Rewards/RedeemView/Custom Cell/RewardRedeemed/Serial Code/SerialCodeRedeemedTableViewCell.strings,"""2mc-X4-usc.text""",,,"""-"";","""-"";","""-"";",,
343,1,SKOR/Presentation Layer/Rewards/RedeemView/Custom Cell/RewardRedeemed/Serial Code/SerialCodeRedeemedTableViewCell.strings,"""gg0-ek-XiL.text""","""Reward Redeemed""",,"""Phần quà đã được Đổi"";","""Ganjaran Ditebus"";","""Reward Redeemed"";",,
344,2,SKOR/Presentation Layer/Rewards/RedeemView/Custom Cell/RewardRedeemed/Serial Code/SerialCodeRedeemedTableViewCell.strings,"""3hI-cD-As1.text""",,,"""Label"";","""Label"";","""Label"";",,
345,3,SKOR/Presentation Layer/Rewards/RedeemView/Custom Cell/RewardRedeemed/Serial Code/SerialCodeRedeemedTableViewCell.strings,"""TJX-w6-kuk.normalTitle""",,,"""Quay lại mục Đổi điểm thưởng"";","""Kembali ke Ganjaran"";","""Back to Rewards"";",,
346,4,SKOR/Presentation Layer/Rewards/RedeemView/Custom Cell/RewardRedeemed/Serial Code/SerialCodeRedeemedTableViewCell.strings,"""5O6-At-YXR.text""",,,"""-"";","""-"";","""-"";",,
347,5,SKOR/Presentation Layer/Rewards/RedeemView/Custom Cell/RewardRedeemed/Serial Code/SerialCodeRedeemedTableViewCell.strings,"""Fsg-ud-ktf.text""",,,"""Số thẻ"";","""Card Number"";","""Card Number"";",,
348,6,SKOR/Presentation Layer/Rewards/RedeemView/Custom Cell/RewardRedeemed/Serial Code/SerialCodeRedeemedTableViewCell.strings,"""AAY-Pb-y8m.normalTitle""",,,"""Xem trong Ví của Tôi"";","""View in My Wallet"";","""View in My Wallet"";",,
349,7,SKOR/Presentation Layer/Rewards/RedeemView/Custom Cell/RewardRedeemed/Serial Code/SerialCodeRedeemedTableViewCell.strings,"""aIN-lJ-C8a.text""",,,"""Mã"";","""Pinkode"";","""PIN"";",,
350,8,SKOR/Presentation Layer/Rewards/RedeemView/Custom Cell/RewardRedeemed/Serial Code/SerialCodeRedeemedTableViewCell.strings,"""OPZ-C3-OxM.text""",,,"""MÃ SỐ"";","""Kod"";","""Code"";",,
351,9,SKOR/Presentation Layer/Rewards/RedeemView/Custom Cell/RewardRedeemed/Serial Code/SerialCodeRedeemedTableViewCell.strings,"""GXd-JP-JOK.text""",,,"""Label"";","""Label"";","""Label"";",,
352,0,SKOR/NoEntryFoundView/NoEntryFoundViewViewController.strings,"""Ik5-4Z-orG.text""","""No Records Found!"";","""未找到记录"";","""Không có dữ liệu được tìm thấy!"";","""Tiada Rekod Ditemui!"";","""No Records Found!"";","""ไม่พบประวัติ!"";",
353,0,SKOR/Receipt/Receipt Detail/ReceiptDetailViewController.strings,"""8sh-Bm-Axr.normalTitle""","""Upload"";","""Upload"";","""Tải lên"";","""Muat naik"";","""Upload"";","""อัพโหลด"";",
354,1,SKOR/Receipt/Receipt Detail/ReceiptDetailViewController.strings,"""LWc-jK-VB9.text""","""UPLOAD RECEIPT"";","""UPLOAD RECEIPT"";","""TẢI LÊN BIÊN NHẬN"";","""Muat naik resit"";","""UPLOAD RECEIPT"";","""อัพโหลดใบเสร็จ"";",
355,2,SKOR/Receipt/Receipt Detail/ReceiptDetailViewController.strings,"""9Bv-75-auq.text""","""1/5"";","""1/5"";",,"""1/5"";",,"""1/5"";",
356,3,SKOR/Receipt/Receipt Detail/ReceiptDetailViewController.strings,"""7ZZ-CT-TPC.text""","""Label"";","""Label"";",,"""Label"";",,"""Label"";",
357,4,SKOR/Receipt/Receipt Detail/ReceiptDetailViewController.strings,"""yy5-K6-bq7.text""","""Error"";","""Error"";",,"""Kesilapan"";",,"""ผิดพลาด"";",
358,5,SKOR/Receipt/Receipt Detail/ReceiptDetailViewController.strings,"""Y5o-MG-Iwi.normalTitle""","""Cancel"";","""取消"";","""Hủy"";","""Batal"";","""Cancel"";","""ยกเลิก"";",
359,0,SKOR/AppreciateMultipleFilter/AppreciateMultipleFilterViewController.strings,"""Gmu-Md-u4f.text""","""FILTER"";","""FILTER"";",,"""TAPIS"";","""FILTER"";","""FILTER"";",
360,1,SKOR/AppreciateMultipleFilter/AppreciateMultipleFilterViewController.strings,"""XQe-8U-c0w.normalTitle""","""RESET ALL"";","""RESET ALL"";",,"""RESET ALL"";","""RESET ALL"";","""RESET ALL"";",
361,2,SKOR/AppreciateMultipleFilter/AppreciateMultipleFilterViewController.strings,"""jzI-tw-6mL.normalTitle""","""APPLY"";","""APPLY"";",,"""APPLY"";","""APPLY"";","""APPLY"";",
362,0,SKOR/Horizontal Scrolling Options/Custom Cell/HorizontalScrollingOptionCell.strings,"""YU6-uR-bgZ.text""","""Monthly""",,"""Hàng tháng"";","""BULANAN"";","""Monthly"";",,
363,0,SKOR/MultipleAddressView/MultipleAddressStoryboard.strings,"""C31-Y5-ige.text""","""Choose your preferred \noutlet:"";","""选择您喜欢的插座："";","""Choose your preferred \noutlet:"";","""Pilih outlet disukai \nanda:"";","""Choose your preferred \noutlet:"";",,
364,0,SKOR/Receipt/Receipt Detail/Custom Cell/ReceiptDetailCellWithOptions.strings,"""ZzU-I3-wj7.normalTitle""","""Select"";","""เลือก"";",,,,"""Select"";",
365,1,SKOR/Receipt/Receipt Detail/Custom Cell/ReceiptDetailCellWithOptions.strings,"""LC4-uY-pYw.text""","""Label"";","""Label"";",,,,"""Label"";",
366,2,SKOR/Receipt/Receipt Detail/Custom Cell/ReceiptDetailCellWithOptions.strings,"""CpJ-zG-KOe.text""","""(Optional)"";","""(ไม่จำเป็น)"";",,,,"""(Optional)"";",
367,0,SKOR/Login/TTTS/LogInViewControllerTTTS.strings,"""wDU-RD-DoY.placeholder""","""Email or Username"";","""Email or Username"";","""Email hoặc tên người dùng"";","""Email or Username"";","""Email or Username"";","""อีเมล หรือ ชื่อผู้ใช้งาน"";",
368,1,SKOR/Login/TTTS/LogInViewControllerTTTS.strings,"""Zrr-ot-gaa.text""","""Version:1.0"";","""Version:1.0"";","""Version:1.0"";","""Version:1.0"";","""Version:1.0"";","""เวอร์ชั่น"";",
369,2,SKOR/Login/TTTS/LogInViewControllerTTTS.strings,"""BtW-RI-F0j.normalTitle""","""Location >"";","""Location >"";","""Vị trí >"";","""Location >"";","""Location >"";","""ตำแหน่งที่ตั้ง"";",
370,3,SKOR/Login/TTTS/LogInViewControllerTTTS.strings,"""1SV-BZ-sQx.normalTitle""","""Forgot Password?"";","""Forgot Password?"";","""Quên mật khẩu của bạn?"";","""Forgot Password?"";","""Forgot Password?"";","""ลืมรหัสผ่าน?"";",
371,4,SKOR/Login/TTTS/LogInViewControllerTTTS.strings,"""RsR-wR-d4i.text""","""I accept the Terms of service and Privacy Policy"";","""I accept the Terms of service and Privacy Policy"";","""Tôi đồng ý với Điều khoản dịch vụ và Chính sách Bảo mật."";","""I accept the Terms of service and Privacy Policy"";","""I accept the Terms of service and Privacy Policy"";","""ฉันยอมรับ เงื่อนไขการให้บริการ และนโยบายความเป็นส่วนตัว"";",
372,5,SKOR/Login/TTTS/LogInViewControllerTTTS.strings,"""HEc-v3-aMb.placeholder""","""Password"";","""Password"";","""Mật khẩu"";","""Password"";","""Password"";","""รหัสผ่าน"";",
373,6,SKOR/Login/TTTS/LogInViewControllerTTTS.strings,"""KfV-me-zMJ.normalTitle""","""Login"";","""Login"";","""Đăng nhập"";","""Login"";","""Login"";","""เข้าสู่ระบบ"";",
374,0,SKOR/TabBar/TabBarOnboarding/OnBoardingsViewController.strings,"""eMJ-yp-4Q6.normalTitle""","""Next"";","""Next"";",,"""Terus"";","""Next"";","""Next"";",
375,1,SKOR/TabBar/TabBarOnboarding/OnBoardingsViewController.strings,"""CHw-QV-Z6c.normalTitle""","""Skip"";","""Skip"";",,"""Melangkau"";","""Skip"";","""Skip"";",
376,2,SKOR/TabBar/TabBarOnboarding/OnBoardingsViewController.strings,"""cVv-de-Ysl.text""","""Tap here to upload your sales receipts"";","""Tap here to upload your sales receipts"";",,"""Tap here to upload your sales receipts"";","""Tap here to upload your sales receipts"";","""Tap here to upload your sales receipts"";",
377,0,SKOR/EditDeliveryViewStoryboard/EditDeliveryViewStoryboard.strings,"""71e-FX-HRa.text""",,,"""Địa chỉ 1"";","""Alamat 1"";","""Address Line 1"";",,
378,1,SKOR/EditDeliveryViewStoryboard/EditDeliveryViewStoryboard.strings,"""U8v-au-Dax.text""",,,"""Mã bưu điện"";","""Poskod"";","""Postal Code"";",,
379,2,SKOR/EditDeliveryViewStoryboard/EditDeliveryViewStoryboard.strings,"""JP1-8p-xg1.text""",,,"""Dòng địa chỉ 2  (Building/ Block/ House No.)"";","""Talian Alamat 2 (Bangunan / Blok / No House)"";","""Adress line 2 (Building/ Block/ House No.)"";",,
380,3,SKOR/EditDeliveryViewStoryboard/EditDeliveryViewStoryboard.strings,"""gxr-O5-AqX.placeholder""",,"""地址 1"";",,,,,
381,4,SKOR/EditDeliveryViewStoryboard/EditDeliveryViewStoryboard.strings,"""RNs-Ji-lb3.normalTitle""",,"""兑换"";","""Reedem"";","""TEBUS"";","""Reedem"";","""แลกรางวัล"";",
382,5,SKOR/EditDeliveryViewStoryboard/EditDeliveryViewStoryboard.strings,"""urP-Vm-1qm.text""",,,"""Số điện thoại liên hệ"";","""Nombor telefon"";","""Contact Number"";",,
383,6,SKOR/EditDeliveryViewStoryboard/EditDeliveryViewStoryboard.strings,"""0vQ-80-0T6.text""",,"""送货地址"";","""địa chỉ giao hàng"";","""Alamat penghantaran"";","""DELIVERY ADDRESS"";","""ที่อยู่การจัดส่ง"";",
384,7,SKOR/EditDeliveryViewStoryboard/EditDeliveryViewStoryboard.strings,"""Ms7-xl-H93.placeholder""",,"""地址 2"";",,,,,
385,8,SKOR/EditDeliveryViewStoryboard/EditDeliveryViewStoryboard.strings,"""ZLh-DV-3RG.placeholder""",,"""联络号码"";",,,,,
386,9,SKOR/EditDeliveryViewStoryboard/EditDeliveryViewStoryboard.strings,"""9aN-8s-uNy.placeholder""",,"""引脚代码（可选） "";",,,,,
387,0,SKOR/New Dashboard/Section provider/Dashboard Sections/Dashboard Items/Announcement Horizontal Scroller/Custom Cell/AnnouncementCollectionViewCell.strings,"""uwZ-s4-6QJ.text""","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";",
388,1,SKOR/New Dashboard/Section provider/Dashboard Sections/Dashboard Items/Announcement Horizontal Scroller/Custom Cell/AnnouncementCollectionViewCell.strings,"""n3I-lX-P5a.normalTitle""","""Learn More"";","""了解更多信息"";","""Tìm hiểu thêm"";","""Lihat Lagi"";","""Learn More"";","""ดูเพิ่มเติม"";",
389,2,SKOR/New Dashboard/Section provider/Dashboard Sections/Dashboard Items/Announcement Horizontal Scroller/Custom Cell/AnnouncementCollectionViewCell.strings,"""68Z-mZ-5bf.text""","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";",
390,3,SKOR/New Dashboard/Section provider/Dashboard Sections/Dashboard Items/Announcement Horizontal Scroller/Custom Cell/AnnouncementCollectionViewCell.strings,"""SKb-dF-acf.text""","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";",
391,0,SKOR/NotificationView/Custom Cell/NotificationTableViewCell.strings,"""5oy-W3-bLt.text""","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";",
392,1,SKOR/NotificationView/Custom Cell/NotificationTableViewCell.strings,"""iwZ-pS-I0f.normalTitle""","""See Details"";","""See Details"";","""Xem chi tiết"";","""Lihat Butiran"";","""See Details"";","""ดูรายละเอียด"";",
393,2,SKOR/NotificationView/Custom Cell/NotificationTableViewCell.strings,"""2kd-Ms-wmM.text""","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";",
394,0,SKOR/AppreciateStregthCollectionViewCell.strings,"""aeL-mb-v69.text""","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";",
395,0,SKOR/New Appreciation flow/Appreciation Feeds/AppreciationFeedsViewController.strings,"""RFh-0f-9UZ.placeholder""","""Search by User Name"";","""按用户名搜索"";","""Tìm kiếm theo tên người dùng"";","""Cari mengikut Nama Pengguna"";","""Search by User Name"";","""ค้นหาตามชื่อผู้ใช้"";",
396,0,SKOR/Presentation Layer/Rewards/RewardRedeemCell/RewardAddressTableViewCell.strings,"""YmO-Y2-0Pl.text""","""ADDRESS"";","""ADDRESS"";",,,,"""ที่อยู่"";",
397,0,SKOR/ATSNDashboard/Production User/DepartmentalPerformanceViewController.strings,"""4C8-ki-lkl.normalTitle""","""Month"";","""Month"";","""Tháng"";","""BULAN"";","""Month"";","""Month"";",
398,1,SKOR/ATSNDashboard/Production User/DepartmentalPerformanceViewController.strings,"""vjH-cl-29Q.normalTitle""","""Week"";","""Week"";","""Tuần"";","""MINGGU"";","""Week"";","""Week"";",
399,2,SKOR/ATSNDashboard/Production User/DepartmentalPerformanceViewController.strings,"""fe2-Ed-euz.normalTitle""","""Quarter"";","""Quarter"";","""Quý"";","""Suku"";","""Quarter"";","""ย่าน"";",
400,3,SKOR/ATSNDashboard/Production User/DepartmentalPerformanceViewController.strings,"""edP-Hh-mvf.text""","""Departmental Performance"";","""Departmental Performance"";","""Hiệu suất bộ phận"";","""Prestasi Jabatan"";","""Departmental Performance"";","""การปฏิบัติงานของแผนก"";",
401,0,SKOR/Receipt/MultipleDocument/UploadDocumentTableViewCell.strings,"""UaV-cK-HKv.text""","""Supporting Documents"";","""证明文件"";",,"""Dokumen pendukung"";","""Dokumen sokongan"";","""เอกสารประกอบการ"";",
402,1,SKOR/Receipt/MultipleDocument/UploadDocumentTableViewCell.strings,"""kPh-IU-PfL.normalTitle""","""Add Documents"";","""添加文档"";",,"""Tambahkan Dokumen"";","""Tambah Dokumen"";","""เพิ่มเอกสาร"";",
403,0,SKOR/New Appreciation flow/Recognition Heroes/Custom Cells/Recognition Category/RecognitionCategoryCollectionViewCell.strings,"""QNH-Wp-zTd.text""","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";",
404,0,SKOR/Presentation Layer/Rewards/Reward Search & Filter/Reward Filter & Sort/RewardFilterViewController.strings,"""GLB-ei-WNk.text""","""FILTERS"";","""FILTERS"";","""FILTERS"";","""mengkategorikan"";","""FILTERS"";","""ฟิลเตอร์"";",
405,1,SKOR/Presentation Layer/Rewards/Reward Search & Filter/Reward Filter & Sort/RewardFilterViewController.strings,"""2wy-1g-rhg.normalTitle""","""Apply"";","""应用"";","""Áp dụng"";","""Tetapan"";","""Apply"";","""นำไปใช้"";",
406,0,SKOR/FacilityCheckInDetailView/FacilityCheckInDetailStoryboard.strings,"""1mB-lq-Sy3.text""",,"""地址"";","""ADDRESS"";","""ALAMAT"";","""ADDRESS"";","""ที่อยู่"";",
407,1,SKOR/FacilityCheckInDetailView/FacilityCheckInDetailStoryboard.strings,"""bFu-WC-IXA.text""",,"""服务条款"";","""Điều khoản và điều kiện"";","""TERMA DAN SYARAT"";","""TERMS & CONDITIONS"";","""เงื่อนไขและข้อตกลง"";",
408,2,SKOR/FacilityCheckInDetailView/FacilityCheckInDetailStoryboard.strings,"""FzQ-Jf-i8b.text""",,"""Lorem ipsum dolor sit er elit lamet, consectetaur cillium adipisicing pecu, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam."";","""Lorem ipsum dolor sit er elit lamet, consectetaur cillium adipisicing pecu, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam."";","""Lorem ipsum dolor sit er elit lamet, consectetaur cillium adipisicing pecu, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam."";","""Lorem ipsum dolor sit er elit lamet, consectetaur cillium adipisicing pecu, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam."";","""Lorem ipsum dolor sit er elit lamet, consectetaur cillium adipisicing pecu, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam."";",
409,3,SKOR/FacilityCheckInDetailView/FacilityCheckInDetailStoryboard.strings,"""pPx-rS-6GD.text""",,"""网站"";","""WEBSITE"";","""Laman Web"";","""WEBSITE"";","""เว็บไซต์"";",
410,4,SKOR/FacilityCheckInDetailView/FacilityCheckInDetailStoryboard.strings,"""wh9-g0-AFO.normalTitle""",,"""阅读更多..."";","""Read More.."";","""Baca Lebih Lanjut.."";","""Read More.."";","""อ่านเพิ่มเติม."";",
411,5,SKOR/FacilityCheckInDetailView/FacilityCheckInDetailStoryboard.strings,"""EJ0-5k-iuE.text""",,"""电话"";","""ĐIỆN THOẠI"";","""TELEFON"";","""PHONE"";","""โทรศัพท์"";",
412,6,SKOR/FacilityCheckInDetailView/FacilityCheckInDetailStoryboard.strings,"""DbP-oX-CbQ.text""",,"""描述"";","""DESCRIPTION"";","""Deskripsi"";","""DESCRIPTION"";","""คำอธิบาย"";",
413,7,SKOR/FacilityCheckInDetailView/FacilityCheckInDetailStoryboard.strings,"""F10-cK-eHj.normalTitle""",,"""签入"";","""CHECK IN"";","""Daftar masuk"";","""CHECK IN"";","""ลงทะเบียนอีเวนท์"";",
414,0,SKOR/RedeemView/RedeemViewStoryboard.strings,"""Fpe-Sf-iG2.text""","""Please enter your email."";",,,,,,
415,1,SKOR/RedeemView/RedeemViewStoryboard.strings,"""6ds-1X-6r7.text""","""N/A"";",,,,,,
416,2,SKOR/RedeemView/RedeemViewStoryboard.strings,"""JyN-gY-auZ.normalTitle""","""CANCEL"";",,,,,,
417,3,SKOR/RedeemView/RedeemViewStoryboard.strings,"""bLN-MX-DW8.text""","""Confirm your address"";",,,,,,
418,4,SKOR/RedeemView/RedeemViewStoryboard.strings,"""a5N-lG-pfp.text""","""ABOUT"";",,,,,,
419,5,SKOR/RedeemView/RedeemViewStoryboard.strings,"""kKc-Y6-X6E.selectedTitle""","""SUBMIT"";",,,,,,
420,6,SKOR/RedeemView/RedeemViewStoryboard.strings,"""Xzf-wX-85q.text""","""0 pts"";",,,,,,
421,7,SKOR/RedeemView/RedeemViewStoryboard.strings,"""ujb-vp-3t5.text""","""Please enter phone number to redeem this Topup."";",,,,,,
422,8,SKOR/RedeemView/RedeemViewStoryboard.strings,"""ljT-L4-qeJ.placeholder""","""Address 1"";",,,,,,
423,9,SKOR/RedeemView/RedeemViewStoryboard.strings,"""pPA-aR-ixf.text""","""ADDRESS"";",,,,,,
424,10,SKOR/RedeemView/RedeemViewStoryboard.strings,"""1ZH-zR-BIl.selectedTitle""","""SUBMIT"";",,,,,,
425,11,SKOR/RedeemView/RedeemViewStoryboard.strings,"""7Qg-gK-pym.text""","""Thank You!"";",,,,,,
426,12,SKOR/RedeemView/RedeemViewStoryboard.strings,"""Yvf-u1-Xjk.normalTitle""","""+"";",,,,,,
427,13,SKOR/RedeemView/RedeemViewStoryboard.strings,"""jWY-by-FyT.text""","""You want to Redeem This Reward"";",,,,,,
428,14,SKOR/RedeemView/RedeemViewStoryboard.strings,"""Eev-HH-Q4o.text""","""TERMS & CONDITIONS"";",,,,,,
429,15,SKOR/RedeemView/RedeemViewStoryboard.strings,"""UqP-sA-tqv.normalTitle""","""SUBMIT"";",,,,,,
430,16,SKOR/RedeemView/RedeemViewStoryboard.strings,"""Mi3-PX-zGB.text""","""Collect your reward/s every 1st working day of the month (redemptions done from the 9th to 23rd of the previous month) OR 15th of the month (redemptions done from the 24th of the previous month to the 8th of the current month)"";",,,,,,
431,17,SKOR/RedeemView/RedeemViewStoryboard.strings,"""Qmr-Rr-yKd.text""","""Office Delivery (Free Service)"";",,,,,,
432,18,SKOR/RedeemView/RedeemViewStoryboard.strings,"""DOf-3q-UVO.normalTitle""",""" -"";",,,,,,
433,19,SKOR/RedeemView/RedeemViewStoryboard.strings,"""tEF-zr-soD.normalTitle""","""OKAY"";",,,,,,
434,20,SKOR/RedeemView/RedeemViewStoryboard.strings,"""dFp-6g-0fl.placeholder""","""Address2"";",,,,,,
435,21,SKOR/RedeemView/RedeemViewStoryboard.strings,"""dH0-xK-f0F.normalTitle""","""Next"";",,,,,,
436,22,SKOR/RedeemView/RedeemViewStoryboard.strings,"""YAX-Cl-dlS.text""","""Enter Phone Number"";",,,,,,
437,23,SKOR/RedeemView/RedeemViewStoryboard.strings,"""bN0-M1-TTx.normalTitle""","""Redeem"";",,,,,,
438,24,SKOR/RedeemView/RedeemViewStoryboard.strings,"""w8S-8o-77P.text""","""Email"";",,,,,,
439,25,SKOR/RedeemView/RedeemViewStoryboard.strings,"""7TW-Wc-iQ9.normalTitle""","""SUBMIT"";",,,,,,
440,26,SKOR/RedeemView/RedeemViewStoryboard.strings,"""6fY-pC-FUH.text""","""Any subsequent redemptions within the day will be free of charge "";",,,,,,
441,27,SKOR/RedeemView/RedeemViewStoryboard.strings,"""iTN-gB-jLk.text""","""Please enter your passcode"";",,,,,,
442,28,SKOR/RedeemView/RedeemViewStoryboard.strings,"""2Ai-ss-JgR.normalTitle""","""REDEEM"";",,,,,,
443,29,SKOR/RedeemView/RedeemViewStoryboard.strings,"""1ZH-zR-BIl.normalTitle""","""SUBMIT"";",,,,,,
444,30,SKOR/RedeemView/RedeemViewStoryboard.strings,"""mTX-Gg-VqP.normalTitle""","""REDEEM"";",,,,,,
445,31,SKOR/RedeemView/RedeemViewStoryboard.strings,"""iIZ-oR-fkW.text""","""EMAIL"";",,,,,,
446,32,SKOR/RedeemView/RedeemViewStoryboard.strings,"""Def-t9-gOK.text""","""Are You Sure?"";",,,,,,
447,33,SKOR/RedeemView/RedeemViewStoryboard.strings,"""iPW-qL-sSk.normalTitle""","""OK"";",,,,,,
448,34,SKOR/RedeemView/RedeemViewStoryboard.strings,"""OwG-yo-8q2.normalTitle""","""Cancel"";",,,,,,
449,35,SKOR/RedeemView/RedeemViewStoryboard.strings,"""3tN-qC-cb4.text""","""Please enter phone number to redeem this Topup."";",,,,,,
450,36,SKOR/RedeemView/RedeemViewStoryboard.strings,"""rbz-PP-0f0.text""","""N/A"";",,,,,,
451,37,SKOR/RedeemView/RedeemViewStoryboard.strings,"""gz2-18-2GJ.text""","""Phone"";",,,,,,
452,38,SKOR/RedeemView/RedeemViewStoryboard.strings,"""UqP-sA-tqv.selectedTitle""","""SUBMIT"";",,,,,,
453,39,SKOR/RedeemView/RedeemViewStoryboard.strings,"""iPW-qL-sSk.selectedTitle""","""SUBMIT"";",,,,,,
454,40,SKOR/RedeemView/RedeemViewStoryboard.strings,"""kKc-Y6-X6E.normalTitle""","""SUBMIT"";",,,,,,
455,41,SKOR/RedeemView/RedeemViewStoryboard.strings,"""nmL-xB-BXa.text""","""Redeeming this reward will deduct 5000 from your account."";",,,,,,
456,42,SKOR/RedeemView/RedeemViewStoryboard.strings,"""0rF-R0-uNf.text""","""1"";",,,,,,
457,43,SKOR/RedeemView/RedeemViewStoryboard.strings,"""VFj-kX-vVU.placeholder""","""Contact Number"";",,,,,,
458,44,SKOR/RedeemView/RedeemViewStoryboard.strings,"""RND-Qk-gCz.text""","""Please enter mobile number"";",,,,,,
459,45,SKOR/RedeemView/RedeemViewStoryboard.strings,"""GSW-iy-k1b.normalTitle""","""Click link for more details."";",,,,,,
460,46,SKOR/RedeemView/RedeemViewStoryboard.strings,"""MUK-VO-hM5.text""","""Select Delivery Mode"";",,,,,,
461,47,SKOR/RedeemView/RedeemViewStoryboard.strings,"""WZ3-Gl-l69.text""","""Vendor Passcode"";",,,,,,
462,48,SKOR/RedeemView/RedeemViewStoryboard.strings,"""XTx-GH-kar.normalTitle""","""Edit Address"";",,,,,,
463,49,SKOR/RedeemView/RedeemViewStoryboard.strings,"""q2U-6w-mjN.text""","""WEBSITE"";",,,,,,
464,50,SKOR/RedeemView/RedeemViewStoryboard.strings,"""xQF-tW-g8T.placeholder""","""Pin number"";",,,,,,
465,51,SKOR/RedeemView/RedeemViewStoryboard.strings,"""jnk-Wq-ZMu.text""","""Courier Option (fee of 50 points apply)"";",,,,,,
466,52,SKOR/RedeemView/RedeemViewStoryboard.strings,"""zzY-wk-WkR.normalTitle""","""EDIT"";",,,,,,
467,53,SKOR/RedeemView/RedeemViewStoryboard.strings,"""pK5-CB-DwB.normalTitle""","""Read More"";",,,,,,
468,54,SKOR/RedeemView/RedeemViewStoryboard.strings,"""chc-KD-iCb.text""","""CONTACT"";",,,,,,
469,55,SKOR/RedeemView/RedeemViewStoryboard.strings,"""co5-jc-xzg.placeholder""","""Phone Number"";",,,,,,
470,0,SKOR/MapViewView/MapViewViewControllerCerraSG.strings,"""Gmp-xO-wj0.text""","""MAP"";","""MAP"";","""MAP"";","""MAP"";","""MAP"";","""แผนที่"";",
471,0,SKOR/Presentation Layer/Rewards/RewardzMainCategoryViewController/BrowseAllRewardz/Custom Cells/RewardCollectionTableViewCell/RewardCollectionTableViewCell.strings,"""LBZ-Qu-0Wx.text""","""Special Deals”;",,"""Ưu đãi đặc biệt"";","""Tawaran Istimewa"";","""Special Deals"";",,
472,1,SKOR/Presentation Layer/Rewards/RewardzMainCategoryViewController/BrowseAllRewardz/Custom Cells/RewardCollectionTableViewCell/RewardCollectionTableViewCell.strings,"""QJx-GX-d8W.normalTitle""",,,"""Xem tất cả"";","""LIHAT SEMUA"";","""See All"";",,
473,2,SKOR/Presentation Layer/Rewards/RewardzMainCategoryViewController/BrowseAllRewardz/Custom Cells/RewardCollectionTableViewCell/RewardCollectionTableViewCell.strings,"""XlY-Kz-Ttn.text""",,,"""Điểm cần có để đổi thưởng"";","""Titik diperlukan untuk menebus"";","""Points required to redeem"";",,
474,0,SKOR/ReferalMainView/ReferalStoryboard.strings,"""oyY-OS-G9b.placeholder""","""Phone - Mobile"";","""手机"";","""Phone - Mobile"";","""Telefon Bimbit"";","""Phone - Mobile"";","""โทรศัพท์ - มือถือ"";",
475,1,SKOR/ReferalMainView/ReferalStoryboard.strings,"""dqy-sv-t78.placeholder""","""Email"";","""电子邮件"";","""Email"";","""E-mel"";","""Email"";","""อีเมล์"";",
476,2,SKOR/ReferalMainView/ReferalStoryboard.strings,"""vQy-GO-aCh.placeholder""","""Phone - Home"";","""电话 （家）"";","""Phone - Home"";","""Rumah Telefon"";","""Phone - Home"";","""โทรศัพท์ - บ้าน"";",
477,3,SKOR/ReferalMainView/ReferalStoryboard.strings,"""Pw4-SE-dcL.placeholder""","""Phone"";","""电话"";","""ĐIỆN THOẠI"";","""TELEFON"";","""Phone"";","""โทรศัพท์"";",
478,4,SKOR/ReferalMainView/ReferalStoryboard.strings,"""9Jz-1G-j3Z.placeholder""","""Email"";","""电子邮件"";","""Email"";","""E-mel"";","""Email"";","""อีเมล์"";",
