Translations Required,Russian
Select Highest Academic Qualification,Выберите максимальный достигнутый уровень образования
Select Highest Early Childhood Qualification,Выберите квалификацию для детей младшего возраста
Select Currently Pursuing,Текущая ступень обучения
Share,Поделиться
"Selected images are being download, check notification section","Выбранные изображения загружаются, проверьте раздел уведомлений"
Thank you for your referral submission.,Благодарим за представленных рефералов.
Please enter referral\'s full name,"Пожалуйста, введите полное имя реферала"
Please enter referral’s contact number,"Пожалуйста, введите контактный номер реферала"
Please specify position,"Пожалуйста, укажите ваше положение"
Please specify highest qualification,"Пожалуйста, укажите высшую квалификацию"
Need Permission,Необходимо разрешение
This app needs contact permission to load contacts.,Приложению необходим доступ к контактам для загрузки контактов
Grant,Дать доступ
Go to Permissions to Grant Contact,Перейдите в Разрешения и дайте приложению доступ к контактам
Unable to get Permission,Невозможно получить разрешение
Send Logs,Отправка логов
No department found.,Департамент не найден.
Please select one department,"Пожалуйста, выберите один департамент"
Specify your position,Укажите ваше положение
Specify your highest academic qualification,Укажите максимальный достигнутый уровень образования
Specify highest early childhood qualification,Укажите достижения в раннем детстве
Specify your currently pursuing,Укажите текущую ступень обучения
Only 3 attachments are allowed,Допускаются только 3 вложения
* Max of 3 attachments,* Максимум 3 вложения
photo selected,фото выбрано
photos selected,фото выбраны
* Required,* Обязательно
Please specify,"Пожалуйста, уточните"
Please enter full name,"Пожалуйста, введите полное имя"
You do not have permission to delete this image.,У вас нет прав удалять это изображение
All Photos,Все фото
Discount Rewards,ВОЗНАГРАЖДЕНИЯ В ВИДЕ СКИДОК
Optional,Необязательно
as per NRIC,согласно NRIC
Remaining,Оставшееся
Featured Rewards,Новые вознаграждения
Events & Activities,События и мероприятия
Principal,Основной
Deputy Centre Lead,Заместитель руководителя центра
English Teacher,Преподаватель английского
Chinese Teacher,Преподаватель китайского
Malay Teacher,Преподаватель малайского
Tamil Teacher,Преподаватель тамильского
Infant Care Teacher,Воспитатель
Student Care Supervisor,Ответственный по службе работы со студентами
Student Care Teacher,Преподаватель службы работы со студентами
Trainee Teacher,Преподаватель-стажер
Trainee Infant Care Teacher,Воспитатель-стажер
Assistant Teacher,Помощник учителя
Center Attendant (Cook),Сотрудник центра (повар)
Center Attendant (Cleaner),Сотрудник центра (уборщик)
Others,Другие
Master Degree,Магистр
Bachelor Degree,Бакалавр
Diploma,Диплом
NITEC,NITEC
GCE A Level,GCE A Level
GCE N/O Level,GCE N/O Level
Secondary 2 and below,Дополнительные баллы уровня 2 и ниже
Others,Другие
Master Degree,Магистр
Bachelor Degree,Бакалавр
Diploma,Диплом
NITEC,NITEC
ACECCE,ACECCE
CPT,CPT
CIT,CIT
ACEY,ACEY
HCIC,HCIC
Not Applicable,Не применимо
Others,Другие
Bachelor Degree,Бакалавр
Diploma,Диплом
NITEC,NITEC
ACECCE,ACECCE
ACEY,ACEY
HCIC,HCIC
Not Applicable,Не применимо
Others,Другие
1 day,1 день
1 week,1 неделя
1 month,1 месяц
Always,Всегда
JAN,Январь
FEB,Февраль
MAR,Март
APR,Апрель
MAY,Май
JUN,Июнь
JUL,Июль
AUG,Август
SEP,Сентябрь
OCT,Октябрь
NOV,Ноябрь
DEC,Декабрь
Su,Вск
Mo,Пн
Tu,Вт
We,Ср
Th,Чт
Fr,Пт
Sa,Сб
Specify Here,Укажите здесь
You need,Вам необходимо
Change Language,Изменить язык
Choose Language,Выберите язык
English,Английский
Chinese(中文),Китайский
,
Username or Email Address,Имя пользователя или адрес эл. почты
Password,Пароль
Login,Логин
Enter your email address below and we\'ll send you instructions on how to change your password.,"Введите ниже свой адрес эл. почты, и мы отправим вам инструкции по изменению пароля."
RECEIPTS,ЧЕКИ
UPLOAD RECEIPTS,ЗАГРУЗИТЬ ЧЕК
Receipt Number,Номер чека
Brand,Бренд
dd/mm/yyyy,дд/мм/гггг
Approved,Одобрено
Rejected,Отклонено
Search Receipts,Поиск по чекам
Garmin,Garmin
Sign Up,Зарегистрироваться
E-mail,Эл.почта
Select,Выберите
Branch,Филиал
Confirm Password,Подтвердите пароль
Registration Code,Код регистрации
Loading Company....,Загрузка компании...
Loading Branch....,Загрузка филиала...
Registering....,Регистрация...
Thanks for Sign up,Благодарим за регистрацию
Please Login now,"Пожалуйста, войдите в систему"
Select your department,Выберите ваш департамент
Select your company,Выберите вашу компанию
No company found,Компания не найдена
Password must be same.,Пароли должны совпадать.
Enter confirm password.,Введите пароль подтверждения.
"Password must have 1 digit, 1 UpperCase and 1 LowerCase letters.","Пароль должен содержать 1 цифру, 1 заглавную и 1 строчную буквы."
Enter password.,Введите пароль.
Select your branch.,Выберите свой филиал.
Enter valid e-mail ID.,Введите адрес эл.почты.
Enter e-mail ID.,Введите адрес эл.почты.
Enter last name.,Введите фамилию.
Enter first name.,Введите имя.
First select your company,Сначала выберите вашу компанию
Enter registration code.,Введите код регистрации.
Skip,Пропустить
Enter Receipt Number,Введите номер чека
Choose Brand Name,Выберите название бренда
You cannot select this photo,Вы не можете выбрать это фото
Do you want to delete,Вы действительно хотите удалить
selected photos?,выделенные фото?
Your Card Number:,Номер вашей карты:
PIN,ПИН
Verifying....,Проверка...
Requesting new OTP,Запрос нового одноразового пароля
Success,Удачно
Select org,Выберите организацию
Change Org,Изменить организацию
You will be logged out for app settings to take place.,"Необходимо выйти из системы, чтобы настройки вступили в силу"
New settings found,Найдены новые настройки
Recognize,Признать
Thanks for recognizing,Спасибо за признание
Select at least one strength to recognize,Выберите хотя бы одно качество для признания
No Updates,Обновлений нет
Take Survey,Пройти опрос
WORKPLACE,РАБОЧЕЕ МЕСТО
ALLOCATE POINTS,РАСПРЕДЕЛИТЬ БАЛЛЫ
Server is facing heavy load. Please try again later.,"Сервер испытывает большую нагрузку. Пожалуйста, попробуйте позже"
"* Password must be minimum 8 characters and contain a combination of uppercase letters, lowercase letters & numbers.","* Пароль должен состоять минимум из 8 символов и содержать комбинацию прописных букв, строчных букв и цифр."
Please enter your home address. Use of Nexperia ATSN office address is not allowed.,"Пожалуйста, введите свой домашний адрес. Использование адреса офиса Nexperia ATSN не допускается."
1 colleague\'s anniversary,годовщина у вашего коллеги
It\'s your anniversary,У Вас годовщина
%d colleagues\' anniversary,годовщина у %d коллег
Monthly appreciation remaining:,"Благодарности, оставшиеся на конец месяца:"
Monthly appreciations remaining:,"Благодарности, оставшиеся на конец месяца:"
Employee ID,Идентификатор сотрудника
Please enter your email address and change your password,"Пожалуйста, введите свой адрес эл. почты и измените пароль"
SET EMAIL ID & PASSWORD,УСТАНОВИТЬ АДРЕС ЭЛ. ПОЧТЫ И ПАРОЛЬ
* Please enter your work or personal contact email for password reset and points redemption purposes.,"* Пожалуйста, введите свой рабочий или личный контактный адрес эл. почты для сброса пароля и обмена баллов."
Postal Code,Почтовый индекс
Home,Домой
points,баллы
Please select a delivery mode,"Пожалуйста, выберите вид доставки"
I have read and accept the Terms of Service & Privacy Policy of Rewardz and Nexperia Malaysia.,Я прочитал и принимаю Условия использования и Политику конфиденциальности Rewardz и Nexperia Malaysia.
Please enter you email address,"Пожалуйста, введите свой адрес эл. почты"
Target Units,Желаемые единицы
Units Sold,Продано единиц
Special Campaigns Tracker,Трекер избранных кампаний
You are in,Вы в
tier,уровень
User is in,Пользователь на
You are nominating,Вы номинируете
You are recognizing,Вы признаете
Private,Приватное
This user has chosen to keep the appreciations private,Пользователь сделал свои благодарности приватными
Make my appreciations public,Сделать мои благодарности публичными
Appreciations,Благодарности
Nominations,Номинирования
Recongnizations,Признания
Workplace by Facebook,Рабочее место Facebook
Share with,Поделиться с
Please long click on message and select at least one message that you would like to share.,"Пожалуйста, нажмите и удерживайте сообщение, которым вы хотите поделиться."
appreciated,оценено
Remaining Monthly appreciation points:,"Баллы благодарностей, оставшиеся на конец месяца:"
Remaining Monthly appreciations points:,"Баллы благодарностей, оставшиеся на конец месяца:"
Appreciation,Благодарность
Appreciations,Благодарности
Nomination,Номинирование
Nominations,Номинирования
Recognition,Признание
Recognitions,Признания
day. Kindly update asap,"день. Пожалуйста, обновите как можно скорее"
days. Kindly update asap,"дней. Пожалуйста, обновите как можно скорее"
Posting to workplace.....,Публикация на рабочее место....
does not exists on your workplace group,не существует в вашей рабочей группе
Successfully posted to your workplace group.,Успешно опубликовано в вашей рабочей группе.
Something went wrong while posting to your workplace group.,Что-то пошло не так при публикации в вашей рабочей группе.
with this message,с этим сообщением
New settings updated.,Настройки обновлены.
Hide my appreciation messages,Скрыть мои сообщения с благодарностями
There was a problem subscribing to Recording API,Возникла проблема подписки Recording API
Fetching Details....,Получение подробностей ....
Select Frame Category,Выберите категорию
Enter Date of Receipt,Введите дату получения
Enter Number of Units sold,Введите количество проданных единиц
Receipt is missing,Нет чека
Loading Receipts....,Загрузка чеков...
Uploading Receipt,Загрузка чека
Receipt Upload Failed,Неудачная загрузка чека
Upload Complete,Загрузка завершена
Italian,Итальянский
German,Немецкий
Frame Category,Категория
Brand Model,"Модель, бренд"
Date of Receipt,Дата получения
Amount,Сумма
No. of units sold,Количество проданных единиц
View Receipt,Просмотр чека
Upload,Загрузка
Spanish,Испанский
NRIC/email,NRIC / эл. почта
Notify members of,Уведомить участников
Quantity should be less than 9,Количество должно составлять менее 9
Add less than 9,Добавить меньше 9
You can redeem this reward,Вы можете получить это вознаграждение
Enter your email address below and we\'ll send you instructions on how to change your password,"Введите ниже свой адрес эл. почты, и мы отправим вам инструкции по изменению пароля"
Country,Страна
Store,Магазин
Select your country,Выберите вашу страну
First select your country,Сначала выберите вашу страну
Loading stores....,Загрузка магазинов...
No countries found,Страны не найдены
Select your store,Выберите ваш магазин
Loading countries....,Загрузка стран ....
Processing,В обработке
Redeem e-Cash,Приобрести эл. наличные
Enter Amount,Введите сумму
"Minimum redemption of $10 is required, subsequent increase in multiples of $1","Минимальная сумма обмена составляет 10 долларов, последующее увеличение суммы должно быть кратно 1 доллару."
Enter PayNow bank account number,Введите номер банковского счета PayNow
OR,ИЛИ
Enter PayNow registered phone number,"Введите номер телефона, зарегистрированного в PayNow"
100 points required,необходимо 100 баллов
Please enter amount,Пожалуйста введите сумму
Please enter either PayNow bank account number or PayNow registered mobile number,"Введите номер банковского счета PayNow или введите номер телефона, зарегистрированного в PayNow"
Please enter valid mobile number,"Пожалуйста, введите действующий номер мобильного телефона"
Please enter minimum $10,"Пожалуйста, введите минимум 10 долларов"
$10,10 долларов
Not registered with PayNow? Register now!,Не зарегистрированы в PayNow? Зарегистрироваться!
"Mobile number update failed, please try again","Не удалось обновить номер мобильного телефона, попробуйте еще раз"
Last Name,Фамилия
Scan was cancelled by you.,Вы прервали сканирование.
Place QR code in the frame,Поместите QR-код в рамку
Courier Option,Курьерская доставка
Office Delivery (Free service),Доставка в офис (Бесплатная услуга)
fee of,комиссия в размере
points apply,баллы применяются
Any subsequent redemptions within the day will be free of charge,Любые последующие обмены в течение дня будут бесплатными.
Collect your reward/s every 1st working day of the month (redemptions done from the 9th to 23rd of the previous month) OR 15th of the month (redemptions done from the 24th of the previous month to the 8th of the current month),Получайте свои награды каждый 1-й рабочий день месяца (обмен производятся с 9 по 23 числа предыдущего месяца) ИЛИ 15 числа месяца (обмен производятся с 24 числа предыдущего месяца по 8 число текущего месяца)
Are you sure you want to redeem this reward?,"Вы уверены, что хотите обменять баллы на это вознаграждение?"
Logging out....,Выход...
Your password will expire in,Срок действия вашего пароля истечет через
Alert,Оповещение
Your password has expired. Kindly reset your password using forget password to login,"Ваш пароль истек. Чтобы восстановить пароль, войдите в систему, кликнув «Забыли пароль?»"
ATSN Dashboard,Панель управления ATSN 
WW47\'18,WW47\'18
Output,Вывод
ICAR,ICAR
Departmental Performance,Достижения департамента
Quarter,Квартал
Q,Q
QTD,QTD
M,M
,
$XXX,$XXX
Enter brand model,Введите бренд / модель
Membership Privileges,Привилегии членства
since,с
Please enter minimum %1$d characters,"Пожалуйста, введите минимум %1$d символов"
entered,введено
Confirm your mobile number,Подтвердите свой номер мобильного телефона
Recognition Heroes,Стена почета
Feed,Фид
users,пользователи
Clear,Очистить
appreciated by,благодарность начислена от
Weekly data as updated on,Еженедельные данные обновлены
Scan QR Code in store to enjoy your offer!,"Отсканируйте QR-код в магазине, чтобы воспользоваться своим предложением!"
Scan QR Code,Сканировать QR-код
Look for the QR code with a red logo in the middle to scan,Найдите QR-код с красным логотипом посередине для сканирования.
Available Points for Redemption,Доступные баллы для обмена
Total Points Redeemed,Всего баллов потрачено
More Details,Больше подробностей
My Points,Мои баллы
Used Points,Использованные баллы
Points Available to Redeem,"Баллы, доступные для обмена"
Learn More,Подробнее
Points Available for Redemption,"Баллы, доступные для обмена"
Steps Summary,СТАТИСТИКА ШАГОВ
CLOSE,ЗАКРЫТЬ
MONTHLY,ЕЖЕМЕСЯЧНО
See Points History >,Посмотреть историю баллов>
Greetings,Поздравления
Popular Merchants,Популярные продавцы
View Event,Просмотреть событие
View Reward,Просмотреть вознаграждение
View Message,Просмотреть сообщение
Organization has,Организация имеет
Selected,Выбрано
RSVP,Приглашение
Event Venue,Место проведения мероприятия
Contact Person for the Event,Контактное лицо по событию
Location,Местоположение
See All,Просмотреть все
My Strengths,Мои качества
Click on each to view more,Более подробные данные доступны по щелчку на самих объектах.
but people call me as,но люди называют меня
I\'m,Я
First & Last name,Имя и фамилия
Please enter address line one,Введите адрес 1
Please enter address line 2,Введите адрес 2
SUPPORT,ПОДДЕРЖКА
GET MY TREATS,ПОЛУЧИТЬ МОЙ ПОДАРОК
Total Points Received,Всего баллов получено
Give High 5,Присвоить похвалу
with,с
Thanks for giving a High 5.,Спасибо за похвалу.
You are giving a High 5,Вы присваиваете похвалу
Minimum %1$d characters required,Требуется минимум %1$d символов
High 5 Awards,Похвала
Joined,Присоединились
Direct access of the application is restricted; Kindly go to the Your Choice app and click on the Your Treat option.,"Прямой доступ к приложению ограничен; Пожалуйста, перейдите в приложение « Your Choice» и нажмите «Your Treat»."
Remaining points budget,Оставшиеся баллы
New version available,Доступна новая версия.
A new version is available. Please update to the latest version.,"Доступна новая версия. Пожалуйста, обновитесь до последней версии."
Update,Обновить
EventPhotosActivity,EventPhotosActivity
1 character,1 символ
0 characters,0 символов
%d characters,%d символов
1 Like,1 лайк
0 Likes,0 лайков
%d Likes,%d лайков
1 Pt,1 балл
0 Pts,0 баллов
%d Pts,%d баллов
1 clap,1 лайк
claps,лайки
%d claps,%d лайков
Tab 1,Вкладка 1
Tab 2,Вкладка 2
Event Points,Баллы события
Security,Безопасность
Preferences,Предпочтения
App Support,Тех. поддержка приложения
How to earn points?,Как заработать баллы?
Frequently Asked Questions (FAQ),Часто задаваемые вопросы (FAQ)
Live chat,Живой чат
"Mon to Fri, 10am - 6pm",ПН-ПТ с 10:00-18:00
Email us,Написать нам
Send logs,Отправка логов
Save Password,Сохранить пароль
Refreshed on,Обновлено
Redeemed on,Обменяно
Steps,Действия
Workplace,Рабочее место
Upload Receipts,Загрузить чек
Receipts,Чеки
Calendar,Календарь
Leaderboard,Таблица лидеров
Rewards,Вознаграждения
Facility Check In,Регистрация на площадку
Referral,Реферал
History,История
Notifications,Уведомления
Settings,Настройки
Connect Apps,Подключить приложения
Appreciation,Благодарность
Dashboard,Панель управления
Recognize,Признать
Nominate,Номинировать
Allocate Points,Распределить баллы
Browse All,Поиск по всем
My Wallet,Мой кошелек
Valid Till:,Срок действия до:
Use Now,Воспользоваться сейчас
USED,ИСПОЛЬЗОВАННЫЕ
EXPIRED,ИСТЕК СРОК
TIME LEFT,ОСТАВШЕЕСЯ ВРЕМЯ
Filter by,Фильтровать по
Notify Me,Уведомить меня
OUT OF STOCK,РАСПРОДАНО
FILTERS,ФИЛЬТРЫ
Select Category,Выберите категорию
Sort By,Сортировать по
Latest,Последнее
A to Z,От А до Я
Z to A,От Я до А
Special Deals,Специальные предложения
Points required to redeem,"Баллы, необходимые для обмена"
Outlet,Пункт выдачи
No Selection,Ничего не выбрано
Select Outlet,Выберите пункт выдачи
Please select the outlet first,"Пожалуйста, сначала выберите пункт выдачи "
Choose your preferred  outlet:,Выберите желаемый пункт выдачи
Change Outlet,Изменить пункт выдачи
Website address not available.,Адрес веб-сайта недоступен.
No location found,Местоположение не найдено
Click here for more details,"Нажмите здесь, чтобы узнать больше"
Register Now,Зарегистрироваться
Not registered with PayNow?,Не зарегистрированы в PayNow?
Enter PayNow registered phone number,"Введите номер телефона, зарегистрированного в PayNow"
"Minimum redemption of $10 is required, subsequent increase in multiples of $1.","Минимальная сумма обмена составляет 10 долларов, последующее увеличение суммы должно быть кратно 1 доллару."
Do you wish to proceed?,Вы хотите продолжить?
Redeeming this reward will deduct %1d points from your account.,Обмен этого вознаграждения приведет к вычету %1d баллов из вашей учетной записи.
"To proceed, select ‘Use Now’ to use your reward. If you select ‘Use Later’, your reward will be stored in ‘My Wallet’ for later use. To exit, click ‘X’, points will NOT be deducted.","Чтобы продолжить и воспользоваться вознаграждением, щелкните «Воспользоваться сейчас». При выборе опции «Воспользоваться позднее» вознаграждение сохранится в разделе «Мой кошелек» с возможностью использовать его позднее. Чтобы выйти, нажмите «X», баллы НЕ будут вычитаться."
Use Later,Воспользоваться позднее
Phone number is not available,Номер телефона недоступен
Successfully Redeemed!,Обмен прошел успешно!
Back to Rewards,Обратно к вознаграждениям
View in My Wallet,Посмотреть в разделе «Мой кошелек»
$1,1 доллар
Reference Code,Справочный код
Pass your phone to the counter staff to key in the pin code.,Передайте телефон сотрудникам за стойкой – они введут ПИН-код.
Select your mode of delivery.,Выберите способ доставки.
By courier,Курьером
(Additional,(Применяется
applies),дополнительно)
Any subsequent redemptions made within the day will  be free of charge. Delivered within 5 working days.,"Любые последующие обмены, совершенные в течение дня, будут бесплатными. Доставка в течении 5 рабочих дней."
To your office reception,К стойке регистрации вашего офиса
(Free delivery),(Бесплатная доставка)
Please note the cut off is every 23rd of the month. You will receive your vouchers on the 30th or 31st of the month or the next working day if it falls on weekends or public holidays.,"Обратите внимание, что пересчет происходит каждое 23 число месяца Вы получите ваучеры 30 или 31 числа месяца или на следующий рабочий день, если эти даты выпадают на выходные или праздничные дни."
(Delivery cut-off date is on every 8th & 26th of the month. e.g. You will receive on 15th May if redemption is made on 27th April.),"(Дата окончания доставки - каждое 8 и 26 число месяца. Например, вы получите 15 мая, если обмен был произведен 27 апреля.)"
Delivery Address,Адрес доставки
BARCODE:,БАРКОД:
Please enter code,"Пожалуйста, введите код"
Only %1d quantities are available for redemption,Только %1d элементов доступно для обмена
Please select at least one subcategory,Выберите хотя бы одну подкатегорию
Brand Name,Название бренда
Select Brand,Выберите бренд
Select Frame,Выберите фрейм
Starting Soon,Скоро начнется
Event starts on,Событие начинается 
Yet to start,Еще не началось
Email or Username,Эл. почта или имя пользователя
HURRY UP!,ПОТОРОПИТЕСЬ!
items left,единиц осталось
Please enter Paytm registered mobile number,"Пожалуйста, введите номер мобильного телефона, зарегистрированный в Paytm"
Please enter correct mobile number,"Пожалуйста, введите правильный номер мобильного телефона"
This voucher will be marked as ‘Used’.,Этот ваучер будет отмечен как «Использованный».
Please enter your mobile number,"Пожалуйста, введите номер своего мобильного телефона"
RECEIVED,ПОЛУЧЕННЫЕ
Please select at least one filter,Выберите хотя бы один фильтр
Select All,Выбрать все
Oops! There are no events in this month,Упс! В этом месяце нет событий
Oops! There are no greetings in this month,Упс! В этом месяце нет поздравлений
Oops! There are no announcements in this month,Упс! В этом месяце нет анонсов
Oops! You did not redeem any %1$s this year,Упс! Вы не обменяли %1$s в этом году
Oops! No receipts are uploaded,Упс! Чеки не загружены
No receipts are currently being processed,Ни один чек не находится в обработке
Oops! No receipts are approved,Упс! Чеки не утверждены
No receipts are rejected,Чеки не отклонены
Used,Использованные
Not Used,Неиспользованные
Received,Полученные
No redemption available,Обмен недоступен
Top Rewards,Топ вознаграждений
Your %1d Points will expire on %1d %s,Срок действия ваших %1d баллов истечет %1d%s
Acknowledge,Подтвердить
Have you received your physical voucher?,Вы получили ваучер на физическом носителе?
Thanks for acknowledging!,Спасибо за подтверждение!
We hope you enjoy your  vouchers. Have a nice day ahead.,"Надеемся, вам понравятся ваучеры. Хорошего дня."
Enter email address,Введите адрес эл. почты
At the max only 3 subcategories can be selected.,Можно выбрать не более 3 подкатегорий.
Oops! No rewards found.,Упс! Вознаграждения не найдены
Explore,Исследовать
Recently Viewed,Недавно просмотрено
Redeem,Обменять
%1d rewards found matching,Найдено %1d совпавших вознаграждений
"In high demand. Only %1d left, don\'t miss out!","Пользуется большим спросом. Осталось всего %1d, не пропустите!"
Nothing found matching %s,Ничего не найдено
Recent Searches,Недавние запросы
IN HIGH DEMAND!,ПОЛЬЗУЕТСЯ БОЛЬШИМ СПРОСОМ.
"Only %1d left, don\'t miss out!","Осталось всего %1d, не пропустите!"
Point History,История баллов
Address line 2 (Building/ Block/ House No.),Адрес 2 (строение/блок/номер дома)
for strength,для качеств
Redeem,Обменять
Reward Used!,Вознаграждение использовано!
Voucher Received!,Ваучер получен!
Open Link,Открыть ссылку
Quantity:,Количество:
Please go to My Wallet Tab to use the redeemed reward.,"Перейдите на вкладку «Мой кошелек», чтобы использовать полученное вознаграждение."
Please acknowledge in My Wallet once you receive the voucher.,"Подтвердите в «Мой кошелек», как только получите ваучер."
Congratulations..!,Поздравляем!
Checked-in Successfully,Регистрация прошла успешно.
When you check-in successfully  to a\nevent you will receive a scratch card\nfrom which you can win points,"Когда вы успешно зарегистрируетесь на \ n мероприятии, вы получите скретч-карту \ n, с помощью которой вы можете выиграть баллы."
Points won,Баллов выиграно
Points won will be reflected within 2 hours.,Выигранные очки отобразятся в течение 2 часов.
Congratulations! \nYou have won a scratch card.,Поздравляем! \ nВы выиграли скретч-карту.
Swipe back and forth to see how many points you have won.,"Проведите по экрану пальцем влево, затем вправо – появится количество заработанных баллов."
You have won,Вы выиграли
Have you received the amount?,Вы получили сумму?
Please contact support team.,Обратитесь в службу поддержки.
Search by username,Поиск по имени пользователя
You have won a scratch card.,Вы выиграли скретч-карту.
"At the max, you can select only 1000 quantities.",Максимально вы можете выбрать 1000 единиц
"At the max, you can award 1000000 points.",Максимально вы можете получить 1 000 000 баллов
You\'re exceeding the points lmit of %d,Вы превысили лимит %d баллов
Maximum 1000000 is allowed.,Допускается максимум 1 000 000.
No photos are added.,Фото не добавлены.
Enter less quantity,Введите меньшее количество
Delete All,Удалить все
Are you sure you want to delete all notification?,"Вы уверены в том, что хотите удалить все уведомления?"
Please enter search query,"Пожалуйста, введите запрос"
Processed,Обработано
Please enter wish message.,"Пожалуйста, введите ваши пожелания."
Sending your wish.....,Отправка ваших пожеланий...
Your message has been sent.,Ваше сообщение было отправлено.
Flexi benefits,Flexi benefits
You have not made your selection for the benefit period for the year 2020.\n\nPlease proceed with benefits selection before logging into Flexi Benefits app.,Вы еще не выбрали бонусный период на 2020 год. \ N \ nПеред входом в приложение Flexi Benefits перейдите к выбору бонуса.
Please enter contact number,"Пожалуйста, введите контактный номер"
Please enter valid contact number,"Пожалуйста, введите действующий контактный номер"
Please enter country,"Пожалуйста, введите страну"
Please acknowledge in My Wallet once you receive the product.,"Пожалуйста, подтвердите в ""Мой кошелек"", как только получите товар."
We hope you enjoy the product. Have a nice day ahead.,"Надеемся, вам понравится этот товар. Хорошего дня."
Have you received the product?,Вы получили товар?
Last Name,Фамилия
Pincode (Optional),Пин-код (необязательно)
Product Received!,Товар получен!
*Delivery fee of %d will be charged,* Взимается плата за доставку в размере %d.
Thai,Тайский
contacts,Контакты
Thailand,Таиланд
Flexi Benefits,Flexi benefits
Benefit Category,Категория бонуса
Benefit Type,Тип бонуса
Selected Benefit Plan,Выберите бонусный план
Remarks,Замечания
Select Benefit,Выберите бонус
Select Benefit Category,Выберите категорию бонуса
Enter description,Введите описание
No Records Found,Записи не найдены
Enter remark,Введите замечание
Units,Единицы
Organisation,Организация
First select your organization,Сначала выберите свою организацию
No Organisation Found,Организация не найдена
See More,Смотреть еще
Official Email ID,Официальный адрес эл. почты
Postcode (Optional),Почтовый индекс (необязательно)
Remarks(Optional),Примечания (необязательно)
Approver Comments,Комментарии модератора
Amount entered is more than the entitled amount.,Введенная сумма превышает разрешенную.
Your claim has been uploaded successfully.,Ваш запрос успешно загружен.
Enter your E-mail ID or Emp ID,Введите свой адрес эл.почты или идентификатор сотрудника
Order Placed,Заказ размещен
In Process,В процессе
Ready for pick up,Готово к выдаче
Shipped,Отправлено
Upload Resume,Загрузить резюме
OPEN GALLERY,ОТКРЫТЬ ГАЛЕРЕЮ
FILE MANAGER,ФАЙЛОВЫЙ МЕНЕДЖЕР
External storage permission is required to show the documents.,Для отображения документов требуется доступ к внешнему хранилищу.
Past Week,Прошлая неделя
Past Month,Прошлый месяц
Last 3 months,Последние 3 месяца
Last 6 months,Последние 6 месяцев
Past year,Прошлый год
Custom,Свой
Filter By Feed Origin,Фильтровать по источнику фида
,
Go to Permissions to Grant external storage,"Перейдите к Разрешениям, чтобы дать доступ к внешнему хранилищу"
Find by name or mobile number,Поиск по имени или номеру мобильного телефона
Please type search text,"Пожалуйста, введите запрос"
*Weekly sales achievement will be refreshed every Monday,* Достижения по продажам за неделю обновляются каждый понедельник
LE Code,Код LE
Please enter valid LE Code and Password,"Пожалуйста, введите действующий код LE и пароль"
Enter valid LE Code,Введите действующий код LE
Password,Пароль
%1d Points,%1d баллов
Saved Address,Сохраненный адрес
+ Add New,+ Добавить новый
Make Default,"Установить, как вариант по умолчанию"
Edit,Редактировать
Delete,Удалить
Edit Address,Редактировать адрес
Add New Address,Добавить новый адрес
Save Address,Сохранить адрес
No address added.,Ни один адрес не добавлен.
Please select delivery address,"Пожалуйста, выберите адрес доставки"
*Default Address,* адрес по умолчанию
Delete Address,Удалить адрес
Are you sure you want to delete the address?,"Вы уверены, что хотите удалить этот адрес?"
Your product will be delivered to,Ваш товар будет доставлен по адресу
New address added successfully,Новый адрес успешно добавлен
Updated your address successfully,Ваш адрес успешно обновлен
Tap Here,Нажмите здесь
Reset Password,Сбросить пароль
App needs Physical activity permission to track the steps.,"Приложению требуется доступ к Физической активности, чтобы отслеживать шаги."
Please grant Physical activity permission to track the steps,"Пожалуйста, предоставьте доступ к Физической активности, чтобы отслеживать шаги"
Overall,Всего
Last 7 days,Последние 7 дней
Last 30 days,Последние 30 дней
Last 90 days,Последние 90 дней
Received,Полученные
Sent,Отправленные
All,Все
FILTER,ФИЛЬТР
Filter by Strength,Фильтровать по качествам
,
Filter by organization,Фильтр по организации
Filter By Feed Type,Фильтровать по типу фида
Filter By Feed Range,Фильтровать по рейтингу фида
Clear All,Очистить все
Reset All,Сбросить все
Apply,Принять
STRENGTHS,КАЧЕСТВА
Are you sure you want to reset all  filter\nselections to default?,Вы действительно хотите сбросить \n выбор всех фильтров к варианту по умолчанию?
Reset Selection,Сбросить выделение
(Enter candidate\'s details),(Введите данные кандидата)
Tutorial not available.,Туториал недоступен
Whats on your mind?,Что думаете?
Enter your comment here,Введите свой комментарий сюда
%d comments,% комментариев
%d claps,%d лайков
Comments,Комментарии
Claps,Лайки
News Feed,Фид новостей
Comment cannot be empty!,Комментарий не может быть пустым!
Please select one option,"Пожалуйста, выберите один вариант"
Create Post,Создать пост
Create Poll,Создать опрос
Choice 1,Вариант 1
Ask Something,Спросите что-нибудь
Choice 2,Вариант 2
Choice 3 (Optional),Вариант 3 (необязательно)
Choice 4 (Optional),Вариант 4 (необязательно)
25,25
Poll description is empty.,Описание опроса пустое.
Choice 1 is required!,Вариант 1 обязателен!
Choice 2 is required!,Вариант 2 обязателен!
Choice characters should be less than 26,Ответ должен состоять из менее чем 26 символов
Poll Active for (days) :,Опрос активен в течение (дней):
Minimum poll active time is 1 day,Минимальное время активности опроса — 1 день.
Poll cannot be active for more than 30 days.,Опрос не может быть активен более 30 дней.
Title,Должность
80,80
Post,Опубликовать
200,200
