keys,values,values-ms,values-th,values-vi,values-zh,values-zh-rCN
string-->>disconnect,Disconnect,Putus Sambungan,,Ngắt kết nối,中断,中断
string-->>which_mechanism_you_would_like,Which Mechanism You Would Like,Mekanisme yang mana anda suka,,Cơ chế mà Bạn Thích,您喜欢哪种机制,您喜欢哪种机制
string-->>to_connect_to_track_your_steps,To Connect To Track Your Steps?,Untuk Sambung untuk jejaki langkah Anda?,,Để Kết nối Nhằm Theo dõi Các bước chân của Bạn?,要连接以跟踪您的步骤？,要连接以跟踪您的步骤？
string-->>msg,Msg,Mesej,,Tin nhắn,味精,味精
string-->>view_more,View More,Lihat Lagi,ดูเพิ่มเติม,Xem Thêm,查看更多,查看更多
string-->>be_fit_and_healthy,Be fit and healthy,Jadilah sihat dan sihat,,Hãy giữ cân đối và khỏe mạnh,身体健康,身体健康
string-->>our_step_tracker_will_help_you,Our step tracker will help you keep track off your fitness and health Wherever you are,Pelacak langkah kami akan membantu anda menjejaki kecergasan dan kesihatan anda di mana sahaja anda berada,,Trình theo dõi bước chân của chúng tôi sẽ giúp bạn theo dõi thể chất và sức khỏe của mình Dù bạn đang ở đâu,我们的步进跟踪器将帮助您跟踪您的健身和健康，无论您身在何处,我们的步进跟踪器将帮助您跟踪您的健身和健康，无论您身在何处
string-->>swipe_to_see_what_next,swipe to see what\'s next,sapu untuk melihat apa yang seterusnya,,vuốt để xem những gì diễn ra tiếp theo,轻扫以查看下一步,轻扫以查看下一步
string-->>text,text,teks,,văn bản,文本,文本
string-->>send_your_wishes,Send Your Wishes,Hantar Salam Anda,ส่งความปรารถนาของคุณ,Gửi Lời chúc của Bạn,发送您的愿望,发送您的愿望
string-->>greetings,Greetings,Salam,ทักทาย,Lời chào,祝福,祝福
string-->>appointments,APPOINTMENTS,PELANTIKAN,,LỊCH HẸN,约会,约会
string-->>july_2015,July 2015,July 2015,กรกฎาคม 2558,42186,7月-15日,7月-15日
string-->>week,WEEK,MINGGU,สัปดาห์,TUẦN,周,周
string-->>month,MONTH,BULAN,เดือน,THÁNG,月,月
string-->>add_appointments,Add Appointments,Tambah APPOINTMENT,,Thêm lịch hẹn,添加约会,添加约会
string-->>redeem,REDEEM,TEBUS,แลกรางวัล,ĐỔI THƯỞNG,兑换,兑换
string-->>dashboard,DASHBOARD,Papan Pemuka,หน้าหลัก,BẢNG ĐIỀU KHIỂN,主页,主页
string-->>whats_on_today,WHAT\'S ON TODAY,Berita_hari_ini,,NHỮNG GÌ DIỄN RA HÔM NAY,今天的内容,今天的内容
string-->>you_want_to_redeem_this_reward,You want to redeem this reward,anda mahu menebus ganjaran ini,คุณต้องการแลกรางวัลนี้,Bạn muốn đổi phần thưởng này,您想兑换此奖励,您想兑换此奖励
string-->>member,member,ahli,,hội viên,成员,成员
string-->>total_points,Total Points,Jumlah Mata,,Tổng Điểm,总积分,总积分
string-->>average_points,averagepoint,mata purata,,điểm trung bình,平均点,平均点
string-->>enter_customer_id_to_redeem_topup,Please enter Customer Id to redeem this topup.,Sila masukkan ID Pelanggan untuk menebus topup ini.,กรุณาป้อนรหัสลูกค้าเพื่อแลกการเติมเงินนี้,Vui lòng nhập Id Khách hàng để đổi tiền nạp này.,请输入客户 ID 以兑换此充值。,请输入客户 ID 以兑换此充值。
string-->>preview_message,Preview Message,Mesej Kecil,,Xem lại Tin nhắn,预览消息,预览消息
string-->>donwloaded_image,DOWNLOADED IMAGE,,,HÌNH ẢNH ĐÃ ĐƯỢC TẢI XUỐNG,下载的图像,下载的图像
string-->>enter_pln_number,Enter Pln Number,masukkan nombor pin,ป้อนหมายเลข Pln,Nhập Số Pin,输入 Pln 编号,输入 Pln 编号
string-->>enter_pln_to_redeem_topup,Please enter Pln Number to redeem this topup.,Sila masukkan nombor pin untuk menebus topup ini.,กรุณาป้อนหมายเลข Pln เพื่อแลกการเติมเงินนี้,Vui lòng nhập Số PIN để đổi tiền nạp này.,请输入 Pln 号码以兑换此充值。,请输入 Pln 号码以兑换此充值。
string-->>description,Description,Deskripsi,คำอธิบาย,Mô tả,描述,描述
string-->>event_timing,Event Time,Waktu Acara,ระยะเวลาของอีเวนท์,Thời gian sự kiện,活动时间,活动时间
string-->>website,Website,Laman Web,เว็บไซต์,Trang web,网站,网站
string-->>points,Points,Mata,คะแนน,Điểm,点,点
string-->>address,ADDRESS,ALAMAT,ที่อยู่,ĐỊA CHỈ,地址,地址
string-->>whom_to_contact_for_event,WHOM TO CONTACT FOR THE EVENT,HUBUNGI SIAPA UNTUK ACARA,ผู้ที่ติดต่อได้สำหรับอีเวนท์,NGƯỜI ĐỂ LIÊN HỆ CHO SỰ KIỆN,活动联系人,活动联系人
string-->>photo,Photo,Foto,ภาพถ่าย,Ảnh,照片,照片
string-->>add_photo,ADD PHOTO,LAMPIRKAN FOTO,เพิ่มรูปภาพ,THÊM ẢNH,添加照片,添加照片
string-->>save,SAVE,SIMPAN,บันทึก,LƯU,救,救
string-->>title,Title,TAJUK,เพิ่มชื่อภาพ,Chức vụ,称号,称号
string-->>read_more,Read More,Baca Lebih Lanjut,อ่านเพิ่มเติม,Đọc Thêm,阅读更多,阅读更多
string-->>terms_and_conditions,TERMS AND CONDITIONS,TERMA DAN SYARAT,ข้อกำหนด และเงื่อนไข,ĐIỀU KHOẢN VÀ ĐIỀU KIỆN,条款和条件,条款和条件
string-->>terms_and_conditions_small,Terms & Conditions,Terma & Syarat Kecil,เงื่อนไขและข้อตกลง,Điều khoản và điều kiện,条款和条件,条款和条件
string-->>option,OPTION,PILIHAN,ทางเลือก,TÙY CHỌN,选项,选项
string-->>filter_categories_by,Filter Categories By,Tapid Kategori Oleh,ตัวกรองจัดประเภทโดย,Lọc Danh mục Theo,筛选类别,筛选类别
string-->>vendor_passcode,Vendor Passcode,Kod Pass Vendor,รหัสผ่านผู้จำหน่าย,Mật mã Nhà cung cấp,供应商密码,供应商密码
string-->>please_enter_your_passcode,Please Enter Your Passcode,Sila masukkan kod laluan anda,กรุณาใส่รหัสผ่านของคุณ,Vui lòng Nhập Mã của Bạn,请输入您的密码,请输入您的密码
string-->>conversations,CONVERSATIONS,PERUNDINGAN,,CUỘC HỘI THOẠI,对话,对话
string-->>direct_delivery_address,Direct Delivery Address,Alamat Penghantaran Terus,ที่อยู่จัดส่งโดยตรง,Địa chỉ Giao hàng Trực tiếp,直接交货地址,直接交货地址
string-->>confirm_redemption,Confirm Redemption,Mengesahkan Penebusan,ยืนยันการแลกรางวัล,Xác nhận Quy đổi,确认兑换,确认兑换
string-->>facility_checkin,FACILITY CHECKIN,SEMAK KEMUDAHAN,เช็คอินสิ่งอำนวยความสะดวก,ĐĂNG KÝ CƠ SỞ,设施签入,设施签入
string-->>select_contact,Select Contact,Pilih Kenalan,เลือกผู้ติดต่อ,Chọn Liên hệ,"选择""联系人""","选择""联系人"""
string-->>search_by_name_or_email,Search by name or email,Cari mengikut nama atau e-mel,ค้นหาด้วยชื่อ หรือ อีเมล,Tìm kiếm theo tên hoặc email,按姓名或电子邮件搜索,按姓名或电子邮件搜索
string-->>enable_google_fit,Enable Google Fit,Dayakan Google Fit,,Bật Google Fit,启用 Google 适合,启用 Google 适合
string-->>get_organized,Get organized,Sila Teratur,,Có tổ chức,井然有序,井然有序
string-->>synchronize_app_with_calendar,Synchronize the app with your phone calendar to help you organize your schedule better,Segerakkan app dengan kalendar telefon anda untuk membantu anda mengaturkan jadual anda dengan lebih baik,,Đồng bộ hóa ứng dụng với lịch biểu trên điện thoại của bạn để giúp bạn sắp xếp lịch trình của mình tốt hơn,将应用与手机日历同步，以帮助您更好地组织日程安排,将应用与手机日历同步，以帮助您更好地组织日程安排
string-->>get_rewards,Get Rewards,Dapatkan Ganjaran,,Nhận Thưởng,获得奖励,获得奖励
string-->>collect_point_redeem_reward,Collect points and redeem your rewards at merchant partners,Kumpul mata dan tebus ganjaran anda di rakan saudagar,,Thu thập điểm và đổi phần thưởng của bạn tại các đối tác thương mại,在商家合作伙伴处收集积分并兑换您的奖励,在商家合作伙伴处收集积分并兑换您的奖励
string-->>connect_google_fit_help,"Connect with google fit app.This will make a healthy change in your life by becoming more active, aware and motivated.",Sambung dengan aplikasi Google Fit ini akan membuat perubahan yang sihat dalam hidup anda dengan menjadi lebih aktif dan bermotivasi.,,"Kết nối với ứng dụng Google fit. Việc kết nối này sẽ giúp cuộc sống của bạn thay đổi một cách lành mạnh bởi bạn sẽ trở nên năng động, có ý thức và động lực hơn.",连接到谷歌适合的应用程序。这将通过变得更加积极、有觉察和激励，使你的生活健康地改变。,连接到谷歌适合的应用程序。这将通过变得更加积极、有觉察和激励，使你的生活健康地改变。
string-->>google_fit_app_installed,Google Fit App Installed,Google Fit App sudah Dipasang,,Đã cài đặt Ứng dụng Google Fit,谷歌适合应用程序安装,谷歌适合应用程序安装
string-->>location_services_enable,Location Services Enable,Perkhidmatan Lokasi boleh digunakan,เปิดใช้บริการตำแหน่งที่ตั้ง,Bật Dịch vụ Định vị,定位服务启用,定位服务启用
string-->>authenticated_to_google_fit,Autheticated to Google fit,Gesahkan Google fit,,Được xác thực đối với Google fit,与谷歌适合的Auticed,与谷歌适合的Auticed
string-->>note_to_ensure,"Note: To ensure that this app functions optimally on your phone, download Google Fit and sync this app with the same gmail account as Google Fit.","Nota: Untuk memastikan bahawa aplikasi ini berfungsi secara optimum di telefon anda, muat turun Google Fit dan segerakkan app ini dengan akaun gmail yang sama seperti Google Fit.",,"Chú thích: Để đảm bảo ứng dụng này hoạt động tối ưu trên điện thoại của bạn, hãy tải xuống Google Fit và đồng bộ hóa ứng dụng này với cùng một tài khoản Gmail như Google Fit.",注意：为了确保此应用程序在您的手机上以最佳方式运行，请下载 Google 适配，并将此应用与 Google 健身帐户同步。,注意：为了确保此应用程序在您的手机上以最佳方式运行，请下载 Google 适配，并将此应用与 Google 健身帐户同步。
string-->>greet_your_colleagues,Greet your colleagues,Salam kepada rakan sekerja anda,,Chào đồng nghiệp của bạn,问候您的同事,问候您的同事
string-->>send_personalized_birthday_wishes,Send personalized birthday wishes and greetings to your colleagues,Hantar hajat ulang tahun peribadi dan salam kepada rakan sekerja anda,,Gửi lời chúc sinh nhật và lời chào được cá nhân hóa đến đồng nghiệp của bạn,向同事发送个性化的生日祝福和问候,向同事发送个性化的生日祝福和问候
string-->>history,HISTORY,REKOD,ประวัติ,LỊCH SỬ,历史,历史
string-->>scan,Scan,Imbas,สแกน,Quét,扫描,扫描
string-->>select_delivery_mode,Select Delivery Mode,Pilih Mod Penghantaran,เลือกโหมดการนำส่ง,Chọn Chế độ Giao hàng,选择传递模式,选择传递模式
string-->>direct_delivery,Direct delivery,Penghantaran terus,,Giao hàng trực tiếp,直接交货,直接交货
string-->>office_pickup,Office Pick-up,Pengambilan Pejabat,,Đón tại Văn phòng,办公室接机,办公室接机
string-->>next,Next,Seterusnya,ต่อไป,Kế tiếp,下一个,下一个
string-->>leaderboard,LEADERBOARD,PAPAN PENDAHULU,กระดานอันดับ,BẢNG LÃNH ĐẠO,排行榜,排行榜
string-->>individual,Individual,Individu,รายบุคคล,Cá nhân,个人,个人
string-->>week_view,Week,Minggu,,Tuần,周,周
string-->>month_view,Month,Bulan,,Tháng,月,月
string-->>total_pts,TOTAL PTS,JUMLAH PTS,,TỔNG ĐIỂM,总点数,总点数
string-->>total_pts_small,Total Pts,jumlah Pts,จำนวนทั้งหมด,Tổng điểm,总点数,总点数
string-->>average_pts,AVERAGE PTS,PURATA PTS,,ĐIỂM TRUNG BÌNH,平均点数,平均点数
string-->>average_pts_small,Avg Pts,Purata Pts,จำนวนเฉลี่ย,Điểm Trung bình,平均点数,平均点数
string-->>team,Team,Pasukan,ทีม,Đội,团队,团队
string-->>location_alert,Location Alert,Amaran Lokasi,การแจ้งเตือนตำแหน่งที่ตั้ง,Thông báo Vị trí,位置警报,位置警报
string-->>location_not_found_switch_on,Location not found please switch on the location.,Lokasi tidak dijumpai sila bertukar lokasi.,ไม่พบตำแหน่ง กรุณาเปิดตำแหน่งที่ตั้ง,"Không tìm thấy vị trí, vui lòng bật định vị.",未找到位置请打开该位置。,未找到位置请打开该位置。
string-->>locations,LOCATIONS,LOKASI,ตำแหน่งที่ตั้ง,VỊ TRÍ,位置,位置
string-->>username,Username,Nama pengguna,ชื่อผู้ใช้,Tên đăng nhập,用户,用户
string-->>point_summary,POINTS SUMMARY,RINGKASAN MATA,สรุปคะแนน,TÓM TẮT ĐIỂM,点数摘要,点数摘要
string-->>remaining_points,Remaining Points,Baki Mata Ganjaran,คะแนนคงเหลือ,Điểm còn lại,剩余积分,剩余积分
string-->>total_redeemed,Total Redeemed,Jumlah Ditebus,แลกรางวัลแล้วรวมทั้งหมด,Tổng Phiếu quà tặng Map,已兑换总额,已兑换总额
string-->>map_voucher,Map Voucher,Baucar Peta,,Đã đổi,地图凭证,地图凭证
string-->>view_point_rewardz,View Point Rewards,Lihat Point Rewards,ดูคะแนนสะสม,Xem Phần thưởng Điểm,查看积分奖励,查看积分奖励
string-->>view_discount_rewardz,View Discount Rewards,Lihat Ganjaran Diskaun,ดูรางวัลส่วนลด,Xem Phần thưởng Chiết khấu,查看折扣奖励,查看折扣奖励
string-->>year,YEAR,TAHUN,ปี,NĂM,年,年
string-->>overall,OVERALL,KESELURUHAN,รวมทั้งสิ้น,TỔNG THỂ,整体,整体
string-->>basic,BASIC,DASAR,เบสิค,CƠ BẢN,基本,基本
string-->>pro,PRO,PRO,โปร,CHUYÊN NGHIỆP,专业版,专业版
string-->>elite,ELITE,ELIT,อีลีท,CAO CẤP,精英,精英
string-->>notifications,NOTIFICATIONS,NOTIFIKASI,การแจ้งเตือน,THÔNG BÁO,通知,通知
string-->>no_notification_at_moment,Oops. No notifications at the moment.,Oops. Tiada notifikasi pada masa ini.,อุ๊บส์ ไม่มีการแจ้งเตือนในขณะนี้,Rất tiếc. Không có thông báo vào lúc này.,哎呀。目前没有通知。,哎呀。目前没有通知。
string-->>slide_left_to_delete,Slide Left To Delete,Masuk Kiri Untuk Padam,เลื่อนไปทางซ้ายเพื่อลบ,Trượt sang Trái để Xóa,向左滑动以删除,向左滑动以删除
string-->>password_reset,Reset instructions have been sent to your email address,Tetapkan semula arahan telah dihantar ke alamat e-mel anda,วิธีการรีเซ็ทถูกส่งไปยังอีเมลของคุณ,Hướng dẫn cài đặt lại đã được gửi đến địa chỉ email của bạn,重置说明已发送到您的电子邮件地址,重置说明已发送到您的电子邮件地址
string-->>rewards,Rewards,GANJARAN,รางวัล,Phần thưởng,奖励,奖励
string-->>your_rewards,YOUR REWARDS,GANJARAN ANDA,,PHẦN THƯỞNG CỦA BẠN,您的奖励,您的奖励
string-->>all_rewards,ALL REWARDS,SEMUA GANJARAN,,TẤT CẢ PHẦN THƯỞNG,所有奖励,所有奖励
string-->>contact,CONTACT,KONTAK,ติดต่อ,LIÊN HỆ,联系,联系
string-->>about,ABOUT,TENTANG,เกี่ยวกับ,VỀ,关于,关于
string-->>about_small,About,Tentang,เกี่ยวกับ,Về,关于,关于
string-->>add,Add,Tambah,เพิ่ม,Thêm,添加,添加
string-->>organizer,Organizer,Penganjur,ออแกไนเซอร์,Người tổ chức,组织者,组织者
string-->>community,Community,Komuniti,คอมมูนิตี้,Cộng đồng,社区,社区
string-->>steps_summary,STEPS SUMMARY,RINGKASAN CARA,สรุปขั้นตอน,TỔNG KẾT BƯỚC CHÂN,步骤摘要,步骤摘要
string-->>weekly,Weekly,Setiap minggu,,Hàng tuần,每周,每周
string-->>steps_tracked_today,Steps Tracked Today,JumlahLangkah yang Diikuti Hari Ini,ขั้นตอนการติดตามในวันนี้,Các bước chân được theo dõi hôm nay,今天跟踪的步骤,今天跟踪的步骤
string-->>your_daily_average_steps,Your Daily Average Steps,Langkah Purata Harian Anda,ขั้นตอนเฉลี่ยรายวันของคุณ,Các bước chân Trung bình Hàng ngày của bạn,您每天的平均步数,您每天的平均步数
string-->>connected_with,Connected With,Bersambung Dengan,เชื่อมต่อกับ,Đã kết nối Với,与,与
string-->>photos,PHOTOS,FOTO,ภาพถ่าย,ẢNH,照片,照片
string-->>view_all,View All,Lihat Semua,ดูทั้งหมด,Xem Tất cả,查看全部,查看全部
string-->>chat,CHAT,CHAT,,TRÒ CHUYỆN,聊天,聊天
string-->>calendar,CALENDAR,KALENDAR,ปฏิทิน,LỊCH BIỂU,日历,日历
string-->>add_activity,ADD ACTIVITY,MASUKAN ACTIVITI,,THÊM HOẠT ĐỘNG,添加活动,添加活动
string-->>emergency_services,EMERGENCY SERVICES,SERVIS KECEMASAN,,DỊCH VỤ KHẨN,紧急服务,紧急服务
string-->>connect_apps_and_devices,CONNECT APPS & DEVICES,SAMBUNG APPS & PERANTI,,KẾT NỐI ỨNG DỤNG & THIẾT BỊ,连接应用和设备,连接应用和设备
string-->>employee_engagement_program,Employee Engagement Program,Program Penglibatan Pekerja,,Chương trình Gắn kết Nhân viên,员工敬业度计划,员工敬业度计划
string-->>axa_drive,AXA DRIVE,AXA PEMANDU,,AXA DRIVE,AXA DRIVE,AXA DRIVE
string-->>my_axa_health,My Axa Health,Kesihatan Axa saya,,Axa Health của tôi,我的 Axa 健康,我的 Axa 健康
string-->>employee_engagement,Employee Engagement,Penglibatan Pekerja,,Sự tham gia của người lao động,员工敬业度,员工敬业度
string-->>password,Password,Kata laluan,รหัสผ่าน,Mật khẩu,密码,密码
string-->>forgot_password,Forgot Password?,Lupa kata laluan?,ลืมรหัสผ่าน?,Quên Mật khẩu?,忘记密码？,忘记密码？
string-->>forgot_your_password,Forgot your password?,Lupa kata laluan anda?,ลืมรหัสผ่านของคุณ?,Quên Mật khẩu của bạn?,忘记密码？,忘记密码？
string-->>enter_email_forgot_pass,Enter your email address below and we\'ll send you instructions on how to change your password.,Masukkan alamat e-mel anda di bawah dan kami akan menghantar arahan tentang cara menukar kata laluan anda.,ป้อนที่อยู่อีเมล์ของคุณด้านล่าง และเราจะส่งคำแนะนำเกี่ยวกับวิธีการเปลี่ยนรหัสผ่านให้คุณ,Nhập địa chỉ email của bạn vào bên dưới và chúng tôi sẽ gửi cho bạn hướng dẫn về cách thay đổi mật khẩu của bạn.,请在下面输入您的电子邮件地址，我们将向您发送有关如何更改密码的说明。,请在下面输入您的电子邮件地址，我们将向您发送有关如何更改密码的说明。
string-->>requesting,Requesting....,Permintaan....,Requesting....,Đang Yêu cầu ....,请求。。。。,请求。。。。
string-->>whats_happening,What\'s Happening,APA YANG SEDANG BERLAKU,เป็นยังไงบ้าง,Điều gì đang Xảy ra,发生了什么,发生了什么
string-->>otp_email_message,We have sent you a secure OTP to your registered email,Kami telah menghantar OTP yang selamat kepada e-mel berdaftar anda,,Chúng tôi đã gửi một mã OTP bảo mật vào email đã đăng ký của bạn,我们已向您发送安全 OTP 到您的注册电子邮件,我们已向您发送安全 OTP 到您的注册电子邮件
string-->>btn_submit,SUBMIT,MENGEMUKAN,ยืนยัน,GỬI ĐI,提交,提交
string-->>reset_password,Reset instructions have been sent to,arahan tetapan semula telah dihantar ke,คำแนะนำสำหรับการรีเซ็ทได้ส่งไปยังที่อยู่อีเมล์ของคุณ,Hướng dẫn cài đặt lại đã được gửi tới,重置说明已发送到您的电子邮件地址。,重置说明已发送到您的电子邮件地址。
string-->>no_internet,No Internet Connection,Tiada sambungan internet,ไม่ได้เชื่อมต่ออินเตอร์เน็ต,Không có Kết nối Internet,无互联网连接,无互联网连接
string-->>barcode_message,Barcode for redemption,Kod Bar untuk penebusan,บาร์โค้ดสำหรับการแลกรางวัล,Mã vạch để đổi thưởng,兑换条形码,兑换条形码
string-->>disconnecting_dots,Disconnecting....,Memutuskan sambungan ....,,Đang ngắt kết nối....,中断。。。。,中断。。。。
string-->>disconnecting,Disconnecting,Disconnecting,,Đang ngắt kết nối,中断,中断
string-->>please_wait,Please wait....,Sila tunggu....,,Vui lòng đợi....,请稍候。。。。,请稍候。。。。
string-->>version,Version,Versi,เวอร์ชั่น,Phiên bản,版本,版本
string-->>hello_blank_fragment,Hello blank fragment,Hancurkan serpihan kosong,,Xin chào đoạn trống,你好空白片段,你好空白片段
string-->>btn_cancel,Cancel,Batal,ยกเลิก,Hủy,取消,取消
string-->>search_result,Search Result,Hasil carian,ค้นหาผลลัพธ์,Tìm Kết quả,搜索结果,搜索结果
string-->>ok,OK,OK,ตกลง,OK,还行,还行
string-->>select_email,Select email id,Pilih id e-mel,,Chọn id email,选择电子邮件 ID,选择电子邮件 ID
string-->>select_phone,Select phone number,Pilih nombor telefonr,,Chọn số điện thoại,选择电话号码,选择电话号码
string-->>staff_referral,Staff Referral,Rujuk Staf,,Giới thiệu nhân viên,员工推荐,员工推荐
string-->>email,Email,E-mel,อีเมล์,Email,电子邮件,电子邮件
string-->>residential_address,Residential Address,Alamat kediaman,,Địa chỉ thường trú,住宅地址,住宅地址
string-->>citizenship,Citizenship,Kewarganegaraan,,Quốc tịch,公民,公民
string-->>highest_academic_qualification,Highest Academic Qualification,Kelayakan Akademik Tertinggi,,Bằng cấp Học vấn Cao nhất,最高学术资格,最高学术资格
string-->>highest_early_childhood_qualification,Highest Early Childhood Educational Qualification,Kelayakan Pendidikan Awal Kanak-Kanak Tertinggi,,Bằng cấp Phổ Thông Trung Học Cao nhất,最高幼儿教育资格,最高幼儿教育资格
string-->>currently_pursuing,Currently Pursuing,Sedang mengejar,,Hiện đang theo học,当前追求,当前追求
string-->>enter_full_name,Please enter full name,Sila masukkan nama penuh,,Vui lòng nhập họ và tên đầy đủ,请输入全名,请输入全名
string-->>enter_contact_number,Please enter contact number,Sila masukkan nombor kenalan,กรุณาระบุเบอร์โทรติดต่อ,Vui lòng nhập số liên lạc,请输入联系电话,请输入联系电话
string-->>enter_email,Please enter email,Sila masukkan e-mel,ระบุอีเมล,Vui lòng nhập email,请输入电子邮件,请输入电子邮件
string-->>enter_address,Please enter the address,Sila masukkan alamat,,Vui lòng nhập địa chỉ,请输入地址,请输入地址
string-->>select_citizenship,Please select citizenship,Sila pilih kewarganegaraan,,Vui lòng chọn quốc tịch,请选择公民,请选择公民
string-->>select_position,Please select position,Sila pilih posisi,,Vui lòng chọn vị trí,请选择位置,请选择位置
string-->>select_highest_qualification,Please select highest qualification,Sila pilih kelayakan tertinggi,,Vui lòng chọn bằng cấp cao nhất,请选择最高资格,请选择最高资格
string-->>select_early_qualification,Please select early qualification attained,Sila pilih kualifikasi awal yang telah dicapai,,Vui lòng chọn bằng cấp giáo dục mầm non đã đạt được,请选择提前获得资格,请选择提前获得资格
string-->>select_currently_pursuing,Please select currently pursuing,Sila pilih pada masa ini,,Vui lòng chọn hiện đang theo học,请选择当前正在追求,请选择当前正在追求
string-->>successfully_referred,Successfully Referred,Berjaya dirujuk,,Được giới thiệu thành công,成功引用,成功引用
string-->>redeeming,Redeeming....,Menebus ....,กำลังแลกรางวัล...,Đang đổi thưởng….,在兑换中。。。。,在兑换中。。。。
string-->>events_capital,EVENTS,ACARA,งานอีเว้นท์,SỰ KIỆN,活动,活动
string-->>greetings_capital,GREETINGS,UCAPAN SELAMATAN,,LỜI CHÀO,问候,问候
string-->>announcements_capital,ANNOUNCEMENTS,PENGUMUMAN,ประกาศข่าวสาร,THÔNG BÁO,公告,公告
string-->>appointments_capital,APPOINTMENTS,APPOINTMENTS,,LỊCH HẸN,约会,约会
string-->>reading_contacts,Reading contacts :,Reading contacts :,,Đang đọc địa chỉ liên hệ:,阅读联系人 ：,阅读联系人 ：
string-->>healthy_activities,healthy-activities,healthy-activities,,healthy-activities,健康活动,健康活动
string-->>referral_small,referral,Rujukan,,giới thiệu,转 介,转 介
string-->>check_in_events,check-in-events,semak-di-acara,เช็คอินกิจกรรม,check-in-events,签入活动,签入活动
string-->>check_in_events_facilities,check-in-events-facilities,kemudahan daftar masuk,,check-in-events-facilities,签入活动设施,签入活动设施
string-->>corporate_program,corporate-program,program korporat,,corporate-program,企业计划,企业计划
string-->>employee_rewards,employee-rewards,ganjaran pekerja,,employee-rewards,员工奖励,员工奖励
string-->>cbo_rewards,CBO Rewards,GANJARAN CBO,,Phần thưởng CBO,CBO 奖励,CBO 奖励
string-->>choose,Choose,Pilih,เลือก,Chọn,选择,选择
string-->>view_profile,View Profile,Lihat profil,ดูข้อมูลโดยรวม,Xem Hồ sơ,查看配置文件,查看配置文件
string-->>enter_otp,ENTER OTP,MASUKAN OTP,,NHẬP MÃ OTP,输入 OTP,输入 OTP
string-->>resend_code,Resend Code,Sila Hantar Kod Semula,,Gửi lại Mã,重新发送代码,重新发送代码
string-->>btn_settings,Settings,Tetapan,ปรับแต่ง,Cài đặt,设置,设置
string-->>your_and,It\'s yours and,Ia anda dan,,Đó là của bạn và,这是你的和,这是你的和
string-->>your_birthday,It\'s your birthday,Ia hari jadi anda,,Đó là ngày sinh nhật của bạn,今天是你的生日,今天是你的生日
string-->>your_anniversary,It\'s your anniversary,Ulang tahun anda,,Đó là ngày kỷ niệm của bạn,这是你的周年纪念日,这是你的周年纪念日
string-->>multiple_colleague_birthday,colleagues\'s birthday,hari jadi rakan sekerja,,sinh nhật của đồng nghiệp,同事的生日,同事的生日
string-->>multiple_colleague_anniversary,colleagues\'s anniversary,ulang tahun rakan sekerja,,ngày kỷ niệm của đồng nghiệp,同事的周年纪念日,同事的周年纪念日
string-->>external_storage_permission,Please provide storage permission to continue using this functionality,Sila berikan kebenaran storan untuk terus menggunakan fungsi ini,โปรดให้สิทธิในการจัดเก็บเพื่อการใช้งานในฟังก์ชั่นนี้ต่อไป,Vui lòng cung cấp quyền lưu trữ để tiếp tục sử dụng chức năng này,请提供存储权限以继续使用此功能,请提供存储权限以继续使用此功能
string-->>external_storage_and_camera_permission,Please provide storage and camera permissions to continue using this functionality,Sila berikan keizinan storan dan kamera untuk terus menggunakan fungsi ini,โปรดให้สิทธิในการจัดเก็บ และใช้กล้องถ่ายรูปเพื่อการใช้งานฟังก์ชันนี้ต่อไป,Vui lòng cung cấp quyền lưu trữ và máy ảnh để tiếp tục sử dụng chức năng này,请提供存储和摄像机权限以继续使用此功能,请提供存储和摄像机权限以继续使用此功能
string-->>location_permission,Please grant location permission to continue using the functionality,Sila berikan kebenaran lokasi untuk terus menggunakan fungsi,โปรดยินยอมให้ใช้ตำแหน่งที่ตั้งเพื่อการใช้งานฟังก์ชั่นต่อไป,Vui lòng cấp quyền định vị để tiếp tục sử dụng chức năng,请授予位置权限以继续使用该功能,请授予位置权限以继续使用该功能
string-->>checking_in,Checking in....,Memeriksa masuk ....,กำลังลงทะเบียน...,Đang đăng ký....,签入...,签入...
string-->>uploading_image,Uploading image....,Memuat naik imej ....,กำลังอัพโหลดรูปภาพ...,Đang tải hình ảnh lên....,正在上载图像...,正在上载图像...
string-->>checking,Checking....,Memeriksa ....,,Đang kiểm tra....,检查。。。。,检查。。。。
string-->>appreciate_small,Appreciate,Penghargaan,ซาบซึ้ง,Ghi nhận,赞赏,赞赏
string-->>valid_till,VALID TILL,GUNA SAMPAI,ใช้ได้ถึง,CÓ HIỆU LỰC ĐẾN,有效 TILL,有效 TILL
string-->>point_reward_header,POINT,MATA,คะแนน,ĐIỂM,点,点
string-->>discount_reward_header,DISCOUNT,DISKAUN,ส่วนลด,CHIẾT KHẤU,折扣,折扣
string-->>app_permission_calendar,App needs access to calendar for adding RSVPed events,App memerlukan akses ke kalendar untuk menambah acara RSVPed,แอพต้องการเข้าถึงปฏิทินเพื่อเพิ่มการตอบรับงานอีเวนท์,Ứng dụng cần được cấp quyền truy cập vào lịch biểu để thêm các sự kiện đã yêu cầu phúc đáp,应用需要访问日历以添加 RSVP 活动,应用需要访问日历以添加 RSVP 活动
