keys,values,values-ar,values-ms,values-ru,values-th,values-vi,values-zh,values-zh-rCN
string-->>today,Today,اليوم,Hari Ini,Сегодня,วันนี้,Hôm nay,今天,今天
string-->>colleague,Colleague,كلية,Rakan Sekerja,Коллега,,Đồng nghiệp,同事,同事
string-->>colleagues,Colleague\'s,زملاء,Rakan Sekerja,Коллеги,,Của đồng nghiệp,同事的,同事的
string-->>its_your_and,It\'s your and,انها الخاص بك و,Ia adalah anda dan,Ваш и,,Đó là của bạn và,这是你的和,这是你的和
string-->>fcm_message,FCM Message,رسالة FCM.,Mesej FCM,Сообщение FCM,,Tin nhắn FCM,FCM 消息,FCM 消息
string-->>successfully_disconnected,Successfully Disconnected,قطع الاتصال بنجاح.,Berhenti terputus,Успешно отключено,,Đã ngắt kết nối thành công,已成功中断连接,已成功中断连接
string-->>you_are_appreciating,You are appreciating,أنت تقدر,Anda menghargai,Вы начисляете благодарность,คุณกำลังแสดงความขอบคุณ,Bạn đang đánh giá cao,你很欣赏,你很欣赏
string-->>this_will_deduct,. This will deduct,وبعد هذا سوف خصم,. Ini akan ditolak,. Этим действием будет вычтено,ส่วนนี้จะถูกหัก,. Điều này sẽ khấu trừ,.这将扣除,.这将扣除
string-->>by_awarding,by awarding,من خلال منح,dengan memberi,путем поощрения,ด้วยการให้รางวัล,bằng cách khen thưởng,通过授予,通过授予
string-->>point_rewards,POINT REWARDS,نقطة المكافآت,MATA GANJARAN,ВОЗНАГРАЖДЕНИЯ В ВИДЕ БАЛЛОВ,,PHẦN THƯỞNG ĐIỂM,积分奖励,积分奖励
string-->>discount,DISCOUNT,خصم,DISKAUN,СКИДКА,ส่วนลด,CHIẾT KHẤU,折扣,折扣
string-->>discount_reward,DISCOUNT REWARDS,مكافآت الخصم,GANJARAN DISKAUN,ВОЗНАГРАЖДЕНИЯ В ВИДЕ СКИДОК,,THƯỞNG CHIẾT KHẤU,折扣奖励,折扣奖励
string-->>activity_trackers,Activity Trackers,تعقب النشاط,Pelacak Aktiviti,Трекеры активности,แทรกเกอร์กิจกรรม,Trình theo dõi hoạt động,活动跟踪器,活动跟踪器
string-->>step_trackers,Step Trackers,تتبع الخطوة,Pelacak Langkah,Трекеры шагов,ตัวนับก้าวเดิน,Trình theo dõi bước chân,步进跟踪器,步进跟踪器
string-->>not_connected_with_google_fit,You are not connected with Google Fit.,أنت غير متصل ب Google Fit.,Anda tidak bersambung dengan Google Fit.,Вы не подключили Google Fit.,,Bạn chưa kết nối với Google Fit.,您没有连接到 Google 健身。,您没有连接到 Google 健身。
string-->>connected_with_google_fit,You are not connected with Google Fit.,أنت غير متصل ب Google Fit.,Anda tidak bersambung dengan Google Fit.,Вы не подключили Google Fit.,,Bạn chưa kết nối với Google Fit.,您没有连接到 Google 健身。,您没有连接到 Google 健身。
string-->>google_fit_disabled,Google Fit disabled,تم تعطيل Google Fit,Google Fit dilumpuhkan,Google Fit выключен,,Google Fit đã tắt,谷歌健身禁用,谷歌健身禁用
string-->>jawbone,Jawbone,عظم الفك,Jawbone,Jawbone,,Jawbone,颌骨,颌骨
string-->>please_disconnect_fitbit_first,Please Disconnect FitBit First,يرجى قطع اتصال FitBit أولا,Sila Putuskan FitBit Dahulu,"Пожалуйста, отключите сначала FitBit",,Vui lòng Ngắt kết nối FitBit Trước,请先中断拟合位,请先中断拟合位
string-->>please_disconnect_jawbone_first,Please Disconnect Jawbone First,يرجى فصل Jawbone أولاً,Sila Putuskan Jawbone Dahulu,"Пожалуйста, отключите сначала Jawbone",,Vui lòng Ngắt kết nối Jawbone Trước,请先中断爪骨,请先中断爪骨
string-->>redeem_discount_at_merchant_partner,Redeem discounts at merchant partners,استبدال الخصومات في شركاء التجار,Tebus diskaun di rakan dagang,Обменяйте баллы на скидки у компаний-партнеров,,Đổi chiết khấu tại các đối tác thương mại,在商家合作伙伴兑换折扣,在商家合作伙伴兑换折扣
string-->>astellas_reward_program,"Astellas Reward Program is an online Reward & Recognition system developed by Astellas SESA, aimed to EMPOWER leaders to RECOGNIZE and REWARD employees’ who demonstrate exception performance and professionalism in the daily work.",برنامج Astellas Rewards هو نظام مكافأة وإجراء تقدير على الإنترنت تم تطويره بواسطة Astellas SESA، بهدف تمكين القادة من الاعتراف بالمكافآت والموظفين الذين يوضحون أداء الاستثناء والكفاءة المهنية في العمل اليومي.,"Astellas Reward Program adalah sistem Reward & Pengiktirafan dalam talian yang dibangunkan oleh Astellas SESA, yang bertujuan untuk para pemimpin EMPOWER untuk mengiktiraf pekerja dan kakitangan REWARD yang menunjukkan prestasi pengecualian dan profesionalisme dalam kerja harian.","""Программа вознаграждений Astellas Reward Program – система поощрений и учета заслуг, которую разработала Astellas SESA. Цель программы – дать менеджменту компании инструмент учета заслуг и вознаграждений для сотрудников за высокие профессиональные и производственные достижения.""",,"Astellas Reward Program is an online Reward & Recognition system developed by Astellas SESA, aimed to EMPOWER leaders to RECOGNIZE and REWARD employees’ who demonstrate exception performance and professionalism in the daily work.",,
string-->>welcome_to_astellas_rewards,Welcome to Astellas Rewards,مرحبا بكم في مكافآت Astellas,Selamat Datang ke Astellas Rewards,Добро пожаловать в Astellas Rewards,,Chào mừng bạn đến với Astellas Rewards,,
string-->>get_the_latest_info,Get the latest info,الحصول على أحدث المعلومات,Dapatkan maklumat terkini,Получите самую свежую информацию,,Nhận thông tin mới nhất,获取最新信息,获取最新信息
string-->>get_real_time_update,Get real-time updates on what\'s going on in your company and see upcoming events and activities,احصل على تحديثات في الوقت الفعلي على ما يحدث في شركتك ونرى الأحداث والأنشطة القادمة,Dapatkan kemas kini masa sebenar mengenai apa yang berlaku di syarikat anda dan lihat acara dan aktiviti yang akan datang,"Получайте в режиме реального времени обновления о том, что происходит в вашей компании, и следите за предстоящими событиями и мероприятиями.",,Nhận thông tin cập nhật theo thời gian thực về những gì đang diễn ra trong công ty của bạn và xem các sự kiện và hoạt động sắp tới,获取公司内动态的实时更新，并查看即将举办的活动和活动,获取公司内动态的实时更新，并查看即将举办的活动和活动
string-->>your_team_rank_is,Your Team Rank is,رتبة فريقك هو,Kedudukan Pasukan Anda adalah,Ваш рейтинг в отделе —,ทีมของคุณอยู่อันดับ,Xếp hạng Đội của bạn là,您的团队排名是,您的团队排名是
string-->>top_ten_participants,Top 10 Participants,أفضل 10 مشاركين,10 Peserta Utama,Топ 10 участников,10 อันดับ เพื่อนร่วมงาน,Top 10 Người tham gia,前 10 名参与者,前 10 名参与者
string-->>hide_top_ten_participants,Hide Top 10 Participants,إخفاء أفضل 10 مشاركين,Sembunyikan 10 Peserta Teratas,Скрыть топ 10 участников,ซ่อน 10 อันดับเพื่อนร่วมงาน,Ẩn Top 10 Người tham gia,隐藏前 10 名参与者,隐藏前 10 名参与者
string-->>unable_to_login_with_provided_credentials,Unable to log in with provided credentials.,غير قادر على تسجيل الدخول مع بيانات الاعتماد المقدمة.,Tidak dapat log masuk dengan kelayakan yang disediakan.,Невозможно войти в систему с предоставленными учетными данными.,ไม่สามารถเข้าสู่ระบบด้วยข้อมูลประจำตัวที่ให้ไว้,Không thể đăng nhập bằng thông tin đăng nhập đã cung cấp.,无法使用提供的凭据登录。,无法使用提供的凭据登录。
string-->>redemption_history,Redemption History,تاريخ الاسترداد,SEJARAH PENEBUSAN,История обмена,,Lịch sử Đổi thưởng,兑换历史记录,兑换历史记录
string-->>loading_users,Loading Users....,تحميل المستخدمين ....,Memuat Pengguna ....,Загрузка пользователей...,กำลังโหลดผู้ใช้...,Đang tải Người dùng....,正在加载用户...,正在加载用户...
string-->>points_earned_on,Points Earned on,النقاط المكتسبة,Mata diperolehi pada,Заработано баллов,,Số điểm đã Đạt được vào,赚取的积分,赚取的积分
string-->>total_points_earned,Total Points Earned,مجموع النقاط المكتسبة,Jumlah Mata Diperolehi,Всего баллов заработано,คะแนนรวมทั้งหมดที่ได้รับ,Tổng Số điểm đã Đạt được,赚取的总积分,赚取的总积分
string-->>congrats_you_are_now,Congrats! You are now,تهاني! انت الآن,Tahniah! Anda sekarang,Поздравляю! Вы сейчас,ยินดีด้วย! ตอนนี้คุณ,Chúc mừng bạn! Bạn giờ là,恭喜！你现在,恭喜！你现在
string-->>more_points_to_become,more points to become,المزيد من النقاط لتصبح,lebih banyak mata untuk menjadi,"больше баллов, чтобы стать",ได้รับคะแนนเพิ่ม,nhiều điểm hơn để trở thành,更多的点成为,更多的点成为
string-->>more_points_to_get_this_rewards,more points to get this reward,المزيد من النقاط للحصول على هذه المكافأة,lebih banyak mata untuk mendapatkan ganjaran ini,"больше очков, чтобы получить это вознаграждение",คะแนนเพิ่มเติมเพื่อรับรางวัลนี้,nhiều điểm hơn để nhận phần thưởng này,更多积分来获得此奖励,更多积分来获得此奖励
string-->>none,NONE,لا أحد,TIADA,НЕТ,,KHÔNG,无,无
string-->>announcement,Announcements,الإعلانات,Pengumuman,Анонсы,แจ้งข่าวสาร,Thông báo,公告,公告
string-->>event,Event,حدث,Acara,Событие,อีเวนท์,Sự kiện,活动,活动
string-->>view_detail,View Detail,عرض التفاصيل,Semak Butiran,Просмотреть детали,ดูรายละเอียด,Xem Chi tiết,查看详细信息,查看详细信息
string-->>reward,Reward,جائزة او مكافاة,Ganjaran,Вознаграждение,รางวัล,Thưởng,奖励,奖励
string-->>phone_number_is_not_valid,Phone Number is not valid.,رقم الهاتف غير صالح.,Nombor Telefon tidak sah.,Номер телефона недействителен.,หมายเลขโทรศัพท์ไม่ถูกต้อง,Số điện thoại không hợp lệ.,电话号码无效。,电话号码无效。
string-->>please_fill_all_fields,Please fill all fields.,لو سمحت أملأ كل الحقول.,Sila isi semua medan.,"Пожалуйста, заполните все поля.",กรุณากรอกข้อมูลให้ครบทุกช่อง,Vui lòng điền tất cả các trường.,请填写所有字段。,请填写所有字段。
string-->>email_address_is_not_valid,Email address is not valid.,عنوان البريد الإلكتروني غير صالح.,Alamat e-mel tidak sah.,Адрес эл. почты недействителен.,,Địa chỉ email không hợp lệ.,电子邮件地址无效。,电子邮件地址无效。
string-->>successfully_submit,Successfully submitted the request.,قدمت بنجاح الطلب.,Berjaya mengemukakan permintaan itu.,Запрос успешно отправлен,Successfully submitted the request.,Đã gửi yêu cầu thành công.,已成功提交请求。,已成功提交请求。
string-->>please_input_some_text,Please input some text.,يرجى إدخال بعض النص.,Sila masukkan beberapa teks.,"Пожалуйста, введите любой текст",กรุณาป้อนข้อความ,Vui lòng nhập một số văn bản.,请输入一些文本。,请输入一些文本。
string-->>address_line_one,Address Line 1 (Optional),خط العنوان 1 (اختياري),Alamat 1 (Pilihan),Адресная строка 1 (необязательно),ที่อยู่บรรทัดที่ 1 (เป็นทางเลือก),Dòng địa chỉ 1 (Tùy chọn),地址行 1（可选）,地址行 1（可选）
string-->>address_line_two,Address Line 2 (Optional),سطر العنوان 2 (اختياري),Alamat 2 (Pilihan),Адресная строка 2 (необязательно),ที่อยู่บรรทัดที่ 2 (เป็นทางเลือก),Dòng địa chỉ 2 (Tùy chọn),地址行 2（可选）,地址行 2（可选）
string-->>address_line_one_no_optional,Address Line 1,العنوان السطر 1,Alamat 1,Адресная строка 1,ที่อยู่บรรทัดที่ 1,Dòng địa chỉ 1,地址行 1,地址行 1
string-->>address_line_two_no_optional,Address Line 2,سطر العنوان 2,Alamat 2,Адресная строка 2,ที่อยู่บรรทัดที่ 2,Dòng địa chỉ 2,地址行 2,地址行 2
string-->>contact_number,Contact Number,رقم الاتصال,Nombor telefon,Контактный номер,หมายเลขติดต่อ,Số liên hệ,联络号码,联络号码
string-->>pincode,Pincode,بوزود,Kod PIN,ПИН-код,รหัส PinCode,Mã Pin,Pin代码,Pin代码
string-->>all_fields_are_mandatory,All fields are mandatory,كل الحقول إلزامية,semua ruangan sahib diisi,Все поля обязательны для заполнения,ทุกสาขามีผลบังคับใช้,Tất cả các trường là bắt buộc,所有字段都是必需的,所有字段都是必需的
string-->>are_you_sre,Are you sure?,هل أنت متأكد؟,Adakah anda pasti?,Вы уверены?,คุณแน่ใจหรือไม่?,Bạn có chắc không?,是否确定？,是否确定？
string-->>toggle_to_enable_google_fit,Toggle to enable Google Fit,تبديل لتمكين Google Fit,Togol untuk mendayakan Google Fit,"Переключите, чтобы включить Google Fit",,Chuyển đổi để bật Google Fit,切换以启用 Google 适合,切换以启用 Google 适合
string-->>toggle_to_enable_samsung_shealth,Toggle to enable Samsung Health,تبديل لتمكين صحة Samsung,Togol untuk mendayakan Samsung Health,"Переключите, чтобы включить Samsung Health",,Chuyển đổi để bật Samsung Health,切换启用三星健康,切换启用三星健康
string-->>tracker_disconnect_warning,will result in steps being tracked from phone and may result in duplicate steps for today. This won\'t help with faster syncing of steps from,سيؤدي إلى اتخاذ خطوات يتم تتبعها من الهاتف وقد يؤدي إلى خطوات مكررة لهذا اليوم. هذا لن يساعد في مزامنة أسرع من الخطوات من,akan menghasilkan langkah-langkah yang dijejaki dari telefon dan mungkin menghasilkan langkah duplikat untuk hari ini. Ini tidak dapat membantu penyegerakan langkah yang lebih cepat dari,приведет к отслеживанию шагов с телефона и может привести к дублированию шагов за сегодня. Это не поможет ускорить синхронизацию шагов из,จะส่งผลให้ข้อมูลซ้ำกัน จะไม่ช่วยให้ข้อมูลมีมากขึ้น,sẽ dẫn đến các bước chân được theo dõi từ điện thoại và có thể tạo ra các bước chân trùng lặp cho ngày hôm nay. Việc này sẽ không giúp đồng bộ hóa nhanh hơn các bước chân từ,将导致从电话跟踪步骤，并可能导致今天重复的步骤。这无助于加快同步从,将导致从电话跟踪步骤，并可能导致今天重复的步骤。这无助于加快同步从
string-->>points_summary,POINTS SUMMARY,نقاط ملخص,MATA RINGKASAN,СТАТИСТИКА ПО БАЛЛАМ,สรุปคะแนน,TÓM TẮT ĐIỂM,点摘要,点摘要
string-->>point_allocation,Point allocation,تخصيص نقطة,peruntukan mata,Распределение баллов,,Phân bổ điểm,点分配,点分配
string-->>repeated_event,Repeated event,حدث متكرر,Acara berulang kali,Повторяющееся событие,งานอีเวนท์ซ้ำ,Sự kiện lặp lại,重复活动,重复活动
string-->>install_google_calender_app,Please install Google Calendar app from Play Store to use this functionality,يرجى تثبيت تطبيق Calendar Google من Play Store لاستخدام هذه الوظيفة,Sila pasang apilkasi Google Calendar dari Play Store untuk menggunakan fungsi ini,"Пожалуйста, установите Google Calendar из Play Store для использования этого функционала",,Vui lòng cài đặt ứng dụng Google Calendar từ Cửa hàng Play để sử dụng chức năng này,请从 Play 商店安装 Google 日历应用以使用此功能,请从 Play 商店安装 Google 日历应用以使用此功能
string-->>loading_data,Loading Data....,تحميل البيانات....,Memuatkan Data ....,Загрузка данных...,กำลังโหลดข้อมูล...,Đang tải Dữ liệu....,正在加载数据...,正在加载数据...
string-->>updating_data,Updating Data....,تحديث البيانات....,Data Dikemaskini kan....,Обновление данных...,กำลังอัพเดทข้อมูล...,Đang cập nhật Dữ liệu....,正在更新数据...,正在更新数据...
string-->>deleting,Deleting....,حذف ....,Memadam ....,Удаление...,กำลังลบ...,Đang xóa....,删除。。。。,删除。。。。
string-->>event_,Event:,حدث:,Acara:,Событие:,งานอีเวนท์:,Sự kiện:,活动：,活动：
string-->>for_,for,ل,untuk,для,เพื่อ,cho,对于,对于
string-->>processing,PROCESSING,يتم المعالجة,PEMPROSESAN,В ОБРАБОТКЕ,กำลังดำเนินการ,ĐANG XỬ LÝ,处理,处理
string-->>team_filter,FILTER BY TEAMS,تصفية من قبل فرق,Penapisan berdasarkan pasukan,ФИЛЬТРОВАТЬ ПО ОТДЕЛАМ,กรองโดยทีม,LỌC THEO ĐỘI,按团队筛选,按团队筛选
string-->>profile_settings,Profile Settings,إعدادات الملف الشخصي,Tetapan Profil,Настройки профиля,,Cài đặt Hồ sơ,配置文件设置,配置文件设置
string-->>username_braces,[username],[اسم االمستخدم],[nama pengguna],[имя пользователя],,[tên đăng nhập],[用户名],[用户名]
string-->>connection_state_braces,[connection state],[حالة الاتصال],[sambungan status],[состояние подключения],,[trạng thái kết nối],[连接状态],[连接状态]
string-->>done,Done,منتهي,Selesai,Завершено,เสร็จสิ้น,Hoàn tất,做,做
string-->>select_strength,Select Strength,اختر القوة,Pilih Kekuatan,Выбрать качества,เลือกจุดเด่น,Chọn Ưu điểm,选择实力,选择实力
string-->>subject,Subject,موضوعات,Subjek,Тема,ชื่อเรื่อง,Chủ đề,主题,主题
string-->>change,Change,يتغيرون,Tukar,Изменить,เปลี่ยน,Thay đổi,改变,改变
string-->>add_your_subject_here,Add your subject here,أضف موضوعك هنا,Tambah subjek anda di sini,Добавьте сюда свою тему,เพิ่มชื่อเรื่งตรงนี้,Thêm chủ đề của bạn ở đây,在此处添加您的主题,在此处添加您的主题
string-->>add_your_message_here,Add your message here,أضف رسالتك هنا,Tambah mesej anda di sini,Добавьте сюда свое сообщение,เพิ่มข้อความตรงนี้,Thêm tin nhắn của bạn ở đây,在此处添加邮件,在此处添加邮件
string-->>change_password,Change Password,تغيير كلمة المرور,Tukar Kata Laluan,Изменить пароль,เปลี่ยนรหัสผ่าน,Đổi mật khẩu,更改密码,更改密码
string-->>old_password,Old Password,كلمة سر قديمة,Kata Laluan Lama,Старый пароль,รหัสผ่านเก่า,Mật khẩu cũ,旧密码,旧密码
string-->>new_password,New Password,كلمة مرور جديدة,Kata Laluan Baru,Новый пароль,รหัสผ่านใหม่,Mật khẩu Mới,新密码,新密码
string-->>confirm_new_password,Confirm New Password,تأكيد كلمة المرور الجديدة,Sahkan Kata Laluan Baru,Подтвердить новый пароль,ยืนยันรหัสผ่านใหม่,Xác nhận Mật khẩu Mới,确认新密码,确认新密码
string-->>details,Details,تفاصيل,Butiran,Детали,,Chi tiết,细节,细节
string-->>edit_profile,EDIT PROFILE,تعديل الملف الشخصي,SUNTING PROFIL,РЕДАКТИРОВАТЬ ПРОФИЛЬ,แก้ไขข้อมูล,CHỈNH SỬA HỒ SƠ,编辑配置文件,编辑配置文件
string-->>change_photo,Change Photo,غير الصوره,Tukar Gambar,Изменить фото,เปลี่ยนรูปภาพ,Thay đổi Ảnh,更改照片,更改照片
string-->>first_name,First Name,الاسم الأول,Nama pertama,Имя,ชื่อ,Tên,名字,名字
string-->>last_name,Last Name (Optional),الاسم الأخير (اختياري),Nama Akhir (Pilihan),Фамилия (необязательно),นามสกุล (เป็นทางเลือก),Họ (Tùy chọn),姓氏（可选）,姓氏（可选）
string-->>official_title,Official Title (Optional),العنوان الرسمي (اختياري),Gelaran Rasmi (Pilihan),Официальная должность (необязательно),ตำแหน่งทางการ (เป็นทางเลือก),Chức vụ chính thức (Tùy chọn),正式职称（可选）,正式职称（可选）
string-->>real_title,Real Title (Optional),العنوان الحقيقي (اختياري),Gelaran Sebenar (Pilihan),Фактическая должность(необязательно),ตำแหน่งจริง (เป็นทางเลือก),Chức vụ thực tế (Tùy chọn),真实称号（可选）,真实称号（可选）
string-->>dob,DOB,دوب,Tarikh Hari Jadi,Дата рождения,วันเดือนปีเกิด,Ngày sinh,DOB,DOB
string-->>make_my_bday_public,Make my birthday public,جعل عيد ميلادي الجمهور,Jadikan hari jadi saya umum,Сделать дату рождения публичной,ทำให้วันเกิดของฉันเป็นสาธารณะ,Hiển thị ngày sinh,公开我的生日,公开我的生日
string-->>mobile,Mobile (Optional),المحمول (اختياري),No.Telefon Bimbit(Pilihan),Мобильный (необязательно),มือถือ (เป็นทางเลือก),Di động (Tùy chọn),移动（可选）,移动（可选）
string-->>company,Company,شركة,Syarikat,Компания,บริษัท,Công ty,公司,公司
string-->>department,Department,قسم,Bahagian,Департамент,แผนก,Bộ phận,部门,部门
string-->>emergency_call,Emergency Call,مكالمة طارئة,Panggilan Kecemasan,Экстренный звонок,,Gọi khẩn,紧急呼叫,紧急呼叫
string-->>phone,PHONE,هاتف,TELEFON,ТЕЛЕФОН,โทรศัพท์,ĐIỆN THOẠI,电话,电话
string-->>phone_all_small,Phone,هاتف,telefom,Телефон,โทรศัพท์,Điện thoại,电话,电话
string-->>sms,SMS,رسالة قصيرة,SMS,SMS,,Dịch vụ tin nhắn ngắn SMS,短信,短信
string-->>business_referral,BUSINESS REFERRAL,إحالة الأعمال,RUJUKAN PERNIAGAAN,БИЗНЕС-РЕФЕРАЛ,,GIỚI THIỆU CÔNG VIỆC KINH DOANH,业务推荐,业务推荐
string-->>employee_referral,EMPLOYEE REFERRAL,إحالة موظف,RUJUKAN PEKERJA,РЕФЕРАЛЫ СОТРУДНИКОВ,EMPLOYEE REFERRAL,GIỚI THIỆU NHÂN VIÊN,员工推荐,员工推荐
string-->>position,Position,موقع,Pangkat,Положение,Position,Vị trí,位置,位置
string-->>name_of_the_candidate,Name of the Candidate,اسم المرشح,Nama Calon,Имя кандидата,Name of the Candidate,Tên của Ứng cử viên,候选人姓名,候选人姓名
string-->>phone_home,Phone - Home,هاتف المنزل,Rumah Telefon,Телефон - домашний,Phone - Home,Điện thoại - Nhà riêng,电话 （家）,电话 （家）
string-->>phone_mobile,Phone - Mobile,الهاتف المحمول,Telefon Bimbit,Телефон - мобильный,Phone - Mobile,Điện thoại - Di động,手机,手机
string-->>information,Information,معلومة,Informasi,Информация,Information,Thông tin,信息,信息
string-->>feedback_and_support,FEEDBACK & SUPPORT,ردود الفعل والدعم,MAKLUM BALAS DAN SOKONGAN,ОБРАТНАЯ СВЯЗЬ И ПОДДЕРЖКА,แสดงความคิดเห็น และให้ความช่วยเหลือ,FEEDBACK & SUPPORT,反馈与支持>,反馈与支持
string-->>faqs,FAQs,أسئلة وأجوبة,FAQs,FAQ (Часто задаваемые вопросы),คำถามที่พบบ่อย,Câu hỏi thường gặp,常见问题 解答,常见问题 解答
string-->>tutorial,Tutorial,الدورة التعليمية,Panduan Pengguna,Туториал,คำแนะนำการใช้งาน,Hướng dẫn,教程,教程
string-->>profile,Profile,الملف الشخصي,Profil,Профиль,ข้อมูลโดยรวม,Hồ sơ,个人资料,个人资料
string-->>edit,EDIT,تعديل,SUNTING,РЕДАКТИРОВАТЬ,แก้ไข,CHỈNH SỬA,编辑,编辑
string-->>no_rewards_available,"Sorry, no rewards available at this location at the moment.",عذرا، لا توجد مكافآت متوفرة في هذا الموقع في الوقت الحالي.,"Maaf, tiada hadiah tersedia di lokasi ini pada masa ini.","К сожалению, на данный момент в этом месте нет вознаграждений.",ขออภัย ไม่มีรางวัลในพื้นที่นี้ในช่วงเวลานี้,"Xin lỗi, ngay lúc này không có phần thưởng nào tại vị trí này.",对不起，目前此地点没有奖励。,对不起，目前此地点没有奖励。
string-->>copy,COPY,ينسخ,SALINAN,КОПИРОВАТЬ,คัดลอก,SAO CHÉP,复制,复制
string-->>redeemed,REDEEMED,استرداد,DITEBUS,ОБМЕНЯНО,แลกรางวัลแล้ว,ĐÃ ĐỔI THƯỞNG,兑换,兑换
string-->>enter_phone_number,Enter Phone Number,أدخل رقم الهاتف,Masukkan Nombor Telefon,Введите номер телефона,ป้อนหมายเลขโทรศัพท์มือถือของคุณ,Nhập Số Điện thoại,输入电话号码,输入电话号码
string-->>phone_number_to_redeem_topup,Please Enter Phone Number   to Redeem this Topup.,الرجاء إدخال رقم الهاتف لاسترداد هذا التعبئة.,Sila Masukkan Nombor Telefon untuk Menebus Topup ini.,"""Введите номер телефона, чтобы получить это вознаграждение.""",กรุณาป้อนหมายเลขโทรศัพท์เพื่อแลกการเติมเงินนี้,Vui lòng Nhập Số Điện thoại để Đổi Tiền nạp này.,请输入电话号码以便充值。,请输入电话号码以便充值。
string-->>enter_your_mobile_number,Enter your mobile number,أدخل رقم هاتفك المحمول,Masukkan nombor mudah alih anda,Введите ваш номер мобильного телефона,ป้อนหมายเลขโทรศัพท์มือถือของคุณ,Nhập số điện thoại di động của bạn,输入您的手机号码,输入您的手机号码
string-->>confirm,CONFIRM,تؤكد,TERUSKAN,ПОДТВЕРДИТЬ,ยืนยัน,XÁC NHẬN,确认,确认
string-->>confirm_small,Confirm,يتأكد,,,,,,
string-->>referral,REFERRAL,إحالة,RUJUKANL,РЕФЕРАЛ,REFERRAL,GIỚI THIỆU,转 介,转 介
string-->>full_name,Full Name,الاسم بالكامل,Nama Sepenuh,Полное имя,,Họ và tên,全名,全名
string-->>apps_and_devices,APPS & DEVICES,التطبيقات والأجهزة,APLIKASI DAN PERANTI,ПРИЛОЖЕНИЯ И УСТРОЙСТВА,,APPS & DEVICES,应用程序和设备,应用程序和设备
string-->>runkeeper,Runkeeper,حديثة,penjaga gawang,Runkeeper,,Runkeeper,RunKeeper,RunKeeper
string-->>connected,Connected,متصل,Telah Disambung,Подключено,,Đã kết nối,连接了,连接了
string-->>connect,Connect,الاتصال,Sambung,Подключить,,Kết nối,连接,连接
string-->>strava,Strava,سترافا,Strava,Strava,,Strava,饮食,饮食
string-->>Jawbone,Jawbone,عظم الفك,Jawbone,Jawbone,,Jawbone,颌骨,颌骨
string-->>fitbit,Fitbit,فيتبيت,Fitbit,Fitbit,,Fitbit,Fitbit,Fitbit
string-->>google_fit_account,GOOGLE FIT ACCOUNT,حساب جوجل صالح,AKAUN GOOGLE FIT,GOOGLE FIT АККАУНТ,,TÀI KHOẢN GOOGLE FIT,谷歌适合帐户,谷歌适合帐户
string-->>disconnect,Disconnect,قطع الاتصال,Putus Sambungan,Отключить,,Ngắt kết nối,中断,中断
string-->>which_mechanism_you_would_like,Which Mechanism You Would Like,أي آلية تريدها,Mekanisme yang mana anda suka,Какие устройства вы хотите,,Cơ chế mà Bạn Thích,您喜欢哪种机制,您喜欢哪种机制
string-->>to_connect_to_track_your_steps,To Connect To Track Your Steps?,للاتصال بتتبع خطواتك؟,Untuk Sambung untuk jejaki langkah Anda?,подключить для отслеживания количества шагов?,,Để Kết nối Nhằm Theo dõi Các bước chân của Bạn?,要连接以跟踪您的步骤？,要连接以跟踪您的步骤？
string-->>msg,Msg,Msg,Mesej,Сообщение,,Tin nhắn,味精,味精
string-->>view_more,View More,عرض المزيد,Lihat Lagi,Смотреть еще,ดูเพิ่มเติม,Xem Thêm,查看更多,查看更多
string-->>be_fit_and_healthy,Be fit and healthy,أن تكون لائقا وصحية,Jadilah sihat dan sihat,Поддерживайте здоровую форму,,Hãy giữ cân đối và khỏe mạnh,身体健康,身体健康
string-->>our_step_tracker_will_help_you,Our step tracker will help you keep track off your fitness and health Wherever you are,سيساعدك متتبع الخطوات الخاص بنا على تتبع لياقتك وصحتك أينما كنت,Pelacak langkah kami akan membantu anda menjejaki kecergasan dan kesihatan anda di mana sahaja anda berada,"Наш шагомер поможет вам отслеживать вашу физическую форму и здоровье, где бы вы ни находились.",,Trình theo dõi bước chân của chúng tôi sẽ giúp bạn theo dõi thể chất và sức khỏe của mình Dù bạn đang ở đâu,我们的步进跟踪器将帮助您跟踪您的健身和健康，无论您身在何处,我们的步进跟踪器将帮助您跟踪您的健身和健康，无论您身在何处
string-->>swipe_to_see_what_next,swipe to see what\'s next,اسحب لرؤية ما التالي,sapu untuk melihat apa yang seterusnya,"проведите пальцем, чтобы увидеть, что будет дальше",,vuốt để xem những gì diễn ra tiếp theo,轻扫以查看下一步,轻扫以查看下一步
string-->>text,text,نص,teks,текст,,văn bản,文本,文本
string-->>send_your_wishes,Send Your Wishes,إرسال تمنياتك,Hantar Salam Anda,Отправьте ваши пожелания,ส่งความปรารถนาของคุณ,Gửi Lời chúc của Bạn,发送您的愿望,发送您的愿望
string-->>greetings,Greetings,تحيات,Salam,Поздравления,ทักทาย,Lời chào,祝福,祝福
string-->>appointments,APPOINTMENTS,تعيينات,PELANTIKAN,ДЕЛОВЫЕ ВСТРЕЧИ,,LỊCH HẸN,约会,约会
string-->>july_2015,July 2015,يوليو 2015.,July 2015,Июль 2015,กรกฎาคม 2558,42186,7月-15日,7月-15日
string-->>week,WEEK,أسبوع,MINGGU,НЕДЕЛЯ,สัปดาห์,TUẦN,周,周
